source,threshold,n_events,best_CSI,best_cut,hit_at_FAR30,brier,clim_brier,mean_p
point_direct,q90,54237,0.49090234490946866,0.95,0.6098604273835204,0.06220780304156859,0.08868347293106293,0.0838190437157479
ladder_ens,q90,54237,0.5004458856911228,0.3,0.6217158028652027,0.04560745152857893,0.08868347293106293,0.08987871355261483
ladder_memmax,q90,54237,0.47424806941096087,0.6,0.4817928720246326,0.06084346344573433,0.08868347293106293,0.15174811763709212
ladder_composite,q90,54237,0.5004391357807835,0.3,0.6216973652672529,0.045926571304720686,0.08868347293106293,0.10841097294523032
ladder_ens_recal,q90,54237,0.5001267663895598,0.35,0.6046978999575935,0.04501589946252613,0.08868347293106293,0.10107520165517633
point_direct,q95,27211,0.3595627427951938,0.95,0.0,0.03856727829300759,0.04691151592620296,0.03252657654880256
ladder_ens,q95,27211,0.390847520526975,0.2,0.3825658740950351,0.029368899440760772,0.04691151592620296,0.04094937771178149
ladder_memmax,q95,27211,0.36498245614035085,0.5499999999999999,0.0,0.03902358551927504,0.04691151592620296,0.08412180429727875
ladder_composite,q95,27211,0.3878337672946342,0.25,0.3825658740950351,0.029569667672980415,0.04691151592620296,0.05680422829146849
ladder_ens_recal,q95,27211,0.3894580945906575,0.3,0.39917680349858514,0.028980053504070204,0.04691151592620296,0.05171111693358584
point_direct,q99,6045,0.1827646038172354,0.95,0.0,0.01024978872958475,0.010842310246511245,0.003871779712962392
ladder_ens,q99,6045,0.24217557251908398,0.15,0.06269644334160464,0.008662978520719646,0.010842310246511245,0.00735781646839302
ladder_memmax,q99,6045,0.20338552687261954,0.39999999999999997,0.0,0.011080577262518867,0.010842310246511245,0.021306356706319477
ladder_composite,q99,6045,0.2262052941664592,0.2,0.06269644334160464,0.008890341130071745,0.010842310246511245,0.015062730530825724
ladder_ens_recal,q99,6045,0.24095158752198464,0.2,0.05508684863523573,0.008645705784812163,0.010842310246511245,0.012495849227369576
