gid,raw,nowcast,lagged,dropnear
6007,0.8587746024131775,0.8979434967041016,0.8841322660446167,0.8879969716072083
7001,0.6715590953826904,0.8789371252059937,0.7024746537208557,0.7938908338546753
7002,0.6846078634262085,0.788413405418396,0.7152550220489502,0.8136622309684753
7003,0.7578054666519165,0.813874363899231,0.7815101742744446,0.8105570077896118
8004,0.6891534924507141,0.8895423412322998,0.7280522584915161,0.8784381747245789
8005,0.7197362184524536,0.7872800827026367,0.7922154068946838,0.7819792628288269
8006,0.7430554628372192,0.7956758737564087,0.7863686084747314,0.8068702220916748
8009,0.6740823984146118,0.8793967366218567,0.6954818964004517,0.8670914173126221
9002,0.7950109839439392,0.8925347924232483,0.8265225887298584,0.8502401113510132
9003,0.7898980975151062,0.8401715755462646,0.7983191013336182,0.8289281129837036
9005,0.6748462915420532,0.892571747303009,0.7084125280380249,0.8901152610778809
10002,0.7577994465827942,0.8095609545707703,0.8027729988098145,0.7806945443153381
11001,0.8499066829681396,0.9139163494110107,0.8872277736663818,0.907486081123352
11003,0.7634883522987366,0.8678482174873352,0.7922590970993042,0.8854626417160034
12001,0.7086609601974487,0.8224772810935974,0.7453219294548035,0.8384365439414978
12002,0.7700648903846741,0.8887872695922852,0.7997533082962036,0.8859593272209167
14001,0.904593288898468,0.9362590312957764,0.9146485328674316,0.9311636090278625
14002,0.8538455963134766,0.8994120359420776,0.8598560094833374,0.9017024636268616
15006,0.8819364309310913,0.9083412885665894,0.8961929678916931,0.9243850708007812
15007,0.8923454284667969,0.9470102190971375,0.9069842100143433,0.9554999470710754
15010,0.8244328498840332,0.8913106322288513,0.8352118134498596,0.9159276485443115
15011,0.7129493951797485,0.8529589176177979,0.719632089138031,0.8688681721687317
15012,0.8337042927742004,0.8809162378311157,0.8522753715515137,0.8636958599090576
15013,0.7624183297157288,0.8625383377075195,0.7663217186927795,0.8794968128204346
16001,0.8808640241622925,0.9596714973449707,0.8873909115791321,0.9434328675270081
16003,0.7989590167999268,0.891231119632721,0.797049880027771,0.8874832987785339
16004,0.9019893407821655,0.9574521780014038,0.9086407423019409,0.9527656435966492
17001,0.8164653778076172,0.8821403980255127,0.8195850849151611,0.8701682686805725
17003,0.8048651218414307,0.8784694075584412,0.8089350461959839,0.8757935762405396
17005,0.8797832727432251,0.927739679813385,0.8848552703857422,0.926762580871582
18001,0.7996048927307129,0.8832657933235168,0.8059602379798889,0.8724391460418701
18002,0.7832297086715698,0.8299480080604553,0.7999221682548523,0.8379075527191162
18003,0.8844290971755981,0.9178733229637146,0.8991745114326477,0.9210118055343628
19001,0.8453986644744873,0.9003409743309021,0.8361771702766418,0.9123986959457397
19006,0.843696653842926,0.8795121312141418,0.8400131464004517,0.8943496942520142
19010,0.5993131399154663,0.6313842535018921,0.6247878074645996,0.5970156192779541
20002,0.743852972984314,0.7544235587120056,0.7519026398658752,0.7544195652008057
20003,0.7640916109085083,0.8631999492645264,0.766741931438446,0.8124046325683594
20007,0.8344414234161377,0.8844413161277771,0.8374027013778687,0.8391730785369873
21003,0.8774638772010803,0.923808217048645,0.8855432271957397,0.9223530292510986
21006,0.8737713694572449,0.9134359955787659,0.8861655592918396,0.934486985206604
21008,0.8468739986419678,0.8865597248077393,0.848249614238739,0.8796229958534241
21009,0.8958886861801147,0.881071150302887,0.8977407217025757,0.8801835775375366
21011,0.8061915636062622,0.885887861251831,0.8230461478233337,0.8504743576049805
21012,0.8626540899276733,0.9147831201553345,0.8588448166847229,0.9162147045135498
21013,0.8086512088775635,0.8919788599014282,0.8246920108795166,0.8851364254951477
21015,0.7460974454879761,0.8031088709831238,0.7638123631477356,0.8146064281463623
21016,0.777742862701416,0.8381252288818359,0.7964506149291992,0.8239017128944397
21017,0.8471405506134033,0.9327073693275452,0.8524806499481201,0.9257615208625793
21018,0.8162961006164551,0.8231799602508545,0.8065183162689209,0.8054773211479187
21022,0.7893584370613098,0.8789522647857666,0.8024170398712158,0.8492387533187866
21023,0.5210555791854858,0.6709652543067932,0.5543402433395386,0.6684167385101318
21024,0.8194705247879028,0.907437801361084,0.8167862892150879,0.8800472021102905
22001,0.8456252813339233,0.9317227602005005,0.8574441075325012,0.895596444606781
22006,0.8434042930603027,0.9042624235153198,0.8560469150543213,0.9013601541519165
22007,0.8286720514297485,0.9239155650138855,0.8394886255264282,0.8983489274978638
22009,0.8220276236534119,0.917323648929596,0.8364731669425964,0.8931856155395508
23001,0.8653668761253357,0.8915147185325623,0.8725161552429199,0.9001831412315369
