model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage,peak_day_bias_pct,own_max_within_1d,dNSE_vs_persistence_median,beats_persistence_frac
persistence_L3,416,0.07791534066200256,0.5390161523512456,43.02884615384615,-6.054382801055908,-62.109880447387695,0.0,0.0,244.38,244.38,0.648960545189194,-75.5,0.0,,
forecast_ar_donor_L3,416,0.39014264941215515,0.4735468189391659,0.4807692307692308,-6.628965616226196,-71.49664306640625,-53.984844,-42.281036376953125,32.37253,244.38,0.724437342263182,-76.6,0.034,0.311,0.911
lstm_fc3,416,0.3882346749305725,0.47671589893785304,0.0,-6.402518033981323,-71.09428787231445,-54.000137,-39.839914321899414,27.656567,244.38,0.7145790554414785,-76.1,0.049,0.314,0.947
