model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage
lstm_ft_ens_q_L1_s1 q50,416,0.8688597083091736,0.8623530327731107,0.0,-0.621356189250946,-21.56750202178955,-10.784187,-9.364738941192627,143.3548,244.38,0.5062742413871777
lstm_ft_ens_q_L1_s1 q95 as point,416,0.6323906481266022,0.5527591603903266,3.125,-1.412468433380127,15.739291667938232,30.804188,29.649137496948242,233.30032,244.38,0.9532123647092283
lstm_ft_ens_q_L1_s1 q99 as point,416,0.04631146788597107,0.08244025126086646,46.15384615384615,-4.5927979946136475,42.284040451049805,61.860374,59.437246322631836,297.40088,244.38,0.9869952087611226
