q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.0584901594756411,0.03240159768359413,0.002739414201240788,0.15160848733744012,0.0007079067741232847,0.0028282828282828283,0.36463749408721924
q25,0.25,0.1854242386263943,0.1594798083504449,0.043919689710244125,0.3613963039014374,0.021291657590938793,0.022424242424242423,0.5520855784416199
q50,0.5,0.44403401032974715,0.4559662331736254,0.18845539584759297,0.658258990386775,0.10150294053583098,0.08202020202020202,0.6842668056488037
q75,0.75,0.712344685501195,0.7454939539128451,0.5030234340742046,0.8769107916951859,0.28947941624918316,0.23252525252525252,0.8309792280197144
q95,0.95,0.9353885088708738,0.9540269221994069,0.8686972393337896,0.9862795550751245,0.6785558701807884,0.6248484848484849,1.087758183479309
q99,0.99,0.9852458097242103,0.9922427561031257,0.9664613278576317,0.9984029203741729,0.8719233282509258,0.8470707070707071,1.308321475982666
