model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage
lstm_fc_perfect_q_L1_s2 q50,416,0.9010090231895447,0.8622956800584101,0.0,-0.18024826049804688,-20.435884475708008,-16.81709,-11.845338344573975,157.93434,244.38,0.5618147152852266
lstm_fc_perfect_q_L1_s2 q95 as point,416,0.6725246608257294,0.519932773432578,3.125,-1.0675301551818848,22.85343360900879,27.85629,33.594600677490234,258.37088,244.38,0.9747889573351586
lstm_fc_perfect_q_L1_s2 q99 as point,416,0.19252079725265503,0.12026921406117119,36.29807692307692,-4.752840757369995,49.59591102600098,55.72946,62.57402420043945,325.66208,244.38,0.9958932238193019
