gid,nse_gauged,nse_ungauged,top1_nse_ungauged,fold,chalk,gauge_name,penalty,area
6007,0.8587746024131775,0.7925757765769958,-1.6171770095825195,4,False,Ness at Ness-side,0.06619882583618164,3.2626266705807416
7001,0.6715590953826904,0.5760707855224609,-4.921209335327148,2,False,Findhorn at Shenachie,0.09548830986022949,2.6186650889403156
7002,0.6846078634262085,0.6439996957778931,-1.7785401344299316,1,False,Findhorn at Forres,0.04060816764831543,2.8930790006006526
7003,0.7578054666519165,0.6944131851196289,0.451407253742218,3,False,Lossie at Sheriffmills,0.0633922815322876,2.33577873881047
8004,0.6891534924507141,0.6743152141571045,-4.189997673034668,3,False,Avon at Delnashaugh,0.01483827829360962,2.7329563695756245
8005,0.7197362184524536,0.48059505224227905,-1.8181488513946533,3,False,Spey at Boat of Garten,0.23914116621017456,3.1008218389469513
8006,0.7430554628372192,0.6239715814590454,-3.1680941581726074,4,False,Spey at Boat o Brig,0.11908388137817383,3.455210427775805
8009,0.6740823984146118,0.6280243396759033,-6.667531967163086,1,False,Dulnain at Balnaan Bridge,0.046058058738708496,2.4348881208673157
9002,0.7950109839439392,0.7908321022987366,-0.7906227111816406,1,False,Deveron at Muiresk,0.004178881645202637,2.982917669520506
9003,0.7898980975151062,0.7798327207565308,-0.9295703172683716,4,False,Isla at Grange,0.01006537675857544,2.2552001166571176
9005,0.6748462915420532,0.6148536205291748,-5.046135902404785,3,False,Allt Deveron at Cabrach,0.05999267101287842,1.8329557506045984
10002,0.7577994465827942,0.7396602630615234,-0.12189316749572754,3,False,Ugie at Inverugie,0.018139183521270752,2.5128444261207994
11001,0.8499066829681396,0.8126047849655151,0.15741300582885742,4,False,Don at Parkhill,0.03730189800262451,3.103516376024478
11003,0.7634883522987366,0.7387996912002563,-0.25911712646484375,3,False,Don at Bridge of Alford,0.024688661098480225,2.707519079623743
12001,0.7086609601974487,0.6710847616195679,-1.071828842163086,2,False,Dee at Woodend,0.03757619857788086,3.139894821423499
12002,0.7700648903846741,0.7452560663223267,-1.2441284656524658,0,False,Dee at Park,0.024808824062347412,3.2632122176175744
14001,0.904593288898468,0.9034273028373718,-0.05015063285827637,0,False,Eden at Kemback,0.0011659860610961914,2.489592899821887
14002,0.8538455963134766,0.8319088220596313,0.046192288398742676,0,False,Dighty Water at Balmossie Mill,0.021936774253845215,2.1059187402863726
15006,0.8819364309310913,0.8533650040626526,-0.982682466506958,0,False,Tay at Ballathie,0.02857142686843872,3.6615079101609047
15007,0.8923454284667969,0.7660565972328186,-1.4761013984680176,3,False,Tay at Pitnacree,0.12628883123397827,3.060350265719691
15010,0.8244328498840332,0.8254774212837219,-0.6105221509933472,3,False,Isla at Wester Cardean,-0.0010445713996887207,2.560826880071928
15011,0.7129493951797485,0.4757475256919861,-2.038451910018921,4,False,Lyon at Comrie Bridge,0.23720186948776245,2.589200942776746
15012,0.8337042927742004,0.6228524446487427,-5.856710910797119,2,False,Tummel at Pitlochry,0.21085184812545776,3.2217584069681595
15013,0.7624183297157288,0.7157086730003357,-2.785806894302368,2,False,Almond at Almondbank,0.046709656715393066,2.238798562713917
16001,0.8808640241622925,0.8705970644950867,-0.2527538537979126,4,False,Earn at Kinkell Bridge,0.01026695966720581,2.7669033822355824
16003,0.7989590167999268,0.6856751441955566,-4.510797023773193,0,False,Ruchill Water at Cultybraggan,0.11328387260437012,2.0046222657007826
16004,0.9019893407821656,0.8807141780853271,-0.5669711828231812,2,False,Earn at Forteviot Bridge,0.02127516269683849,2.894255124234563
17001,0.8164653778076172,0.7816393375396729,-0.03568994998931885,2,False,Carron at Headswood,0.034826040267944336,2.083287569327283
17003,0.8048651218414307,0.7902584075927734,-0.4381692409515381,3,False,Bonny Water at Bonnybridge,0.014606714248657227,1.7117228918272347
17005,0.8797832727432251,0.8657076358795166,-2.479140281677246,2,False,Avon at Polmonthill,0.014075636863708496,2.2896112463483
18001,0.7996048927307129,0.7874693274497986,-1.2308602333068848,1,False,Allan Water at Kinbuck,0.012135565280914307,2.2048793337606623
18002,0.7832297086715698,0.7838183641433716,-1.40199875831604,2,False,Devon at Glenochil,-0.0005886554718017578,2.252100248832793
18003,0.8844290971755981,0.8385151624679565,-1.7377653121948242,0,False,Teith at Bridge of Teith,0.0459139347076416,2.712329754533151
19001,0.8453986644744873,0.8285738229751587,-2.5752456188201904,3,False,Almond at Craigiehall,0.016824841499328613,2.5792346673481497
19006,0.843696653842926,0.8363524675369263,-1.0624828338623047,1,False,Water of Leith at Murrayfield,0.007344186305999756,2.0097482559485536
19010,0.5993131399154663,0.6359823942184448,-0.21182334423065186,1,False,Braid Burn at Liberton,-0.036669254302978516,1.187520720836463
20002,0.743852972984314,0.7318755984306335,-3.5298404693603516,1,False,West Peffer Burn at Luffness,0.01197737455368042,1.40671045860979
20003,0.7640916109085083,0.7462550401687622,-1.5234711170196533,3,False,Tyne at Spilmersford,0.017836570739746094,2.2115743634828506
20007,0.8344414234161377,0.8028130531311035,-1.5123100280761719,2,False,Gifford Water at Lennoxlove,0.03162837028503418,1.8310374856400253
21003,0.8774638772010803,0.8735625743865967,0.08750146627426147,0,False,Tweed at Peebles,0.0039013028144836426,2.8439363008835103
21006,0.8737713694572449,0.8753011226654053,-0.28550827503204346,4,False,Tweed at Boleside,-0.0015297532081604004,3.1776922985724596
21008,0.8468739986419678,0.8384522795677185,-0.38131701946258545,0,False,Teviot at Ormiston Mill,0.008421719074249268,3.0498147674147407
21009,0.8958886861801147,0.8884539604187012,-0.8458508253097534,4,False,Tweed at Norham,0.007434725761413574,3.643330267155526
21011,0.8061915636062622,0.6464654207229614,-0.8964028358459473,1,False,Yarrow Water at Philiphaugh,0.15972614288330078,2.3663295505191058
21012,0.8626540899276733,0.8237738609313965,-0.5200176239013672,1,False,Teviot at Hawick,0.038880228996276855,2.5111076199592683
21013,0.8086512088775635,0.8095560073852539,-2.8697433471679688,3,False,Gala Water at Galashiels,-0.0009047985076904297,2.3126850063887594
21015,0.7460974454879761,0.7428539395332336,-0.3685331344604492,1,False,Leader Water at Earlston,0.0032435059547424316,2.3786159020312243
21016,0.777742862701416,0.7624742984771729,-0.6788879632949829,4,False,Eye Water at Eyemouth Mill,0.015268564224243164,2.0750357259221905
21017,0.8471405506134033,0.73964524269104,-3.0783329010009766,3,False,Ettrick Water at Brockhoperig,0.10749530792236328,1.5864747785713966
21018,0.8162961006164551,0.8220001459121704,-0.3423142433166504,4,False,Lyne Water at Lyne Station,-0.005704045295715332,2.2405242881123635
21022,0.7893584370613098,0.7824074029922485,-0.7298680543899536,2,False,Whiteadder Water at Hutton Castle,0.006951034069061279,2.700902651119476
21023,0.5210555791854858,0.42915403842926025,-4.305220127105713,0,False,Leet Water at Coldstream,0.09190154075622559,2.052886235256382
21024,0.8194705247879028,0.8046246767044067,-0.5048027038574219,4,False,Jed Water at Jedburgh,0.014845848083496094,2.145972902802181
22001,0.8456252813339233,0.8342463970184326,-0.15218281745910645,3,False,Coquet at Morwick,0.011378884315490723,2.762115641442657
22006,0.8434042930603027,0.8407483696937561,0.21540480852127075,2,False,Blyth at Hartford Bridge,0.002655923366546631,2.4372271921907287
22007,0.8286720514297485,0.8223509192466736,-0.37660765647888184,1,False,Wansbeck at Mitford,0.006321132183074951,2.4502645085598513
22009,0.8220276236534119,0.7821483612060547,-0.609652042388916,0,False,Coquet at Rothbury,0.03987926244735718,2.53905099433993
23001,0.8653668761253357,0.8645618557929993,0.6168559789657593,0,False,Tyne at Bywell,0.0008050203323364258,3.3369317974628796
23004,0.8422224521636963,0.813693106174469,0.016944050788879395,4,False,South Tyne at Haydon Bridge,0.028529345989227295,2.8749975621961523
23006,0.8353042006492615,0.8115421533584595,-0.5592353343963623,0,False,South Tyne at Featherstone,0.023762047290802002,2.5092697453761876
23007,0.8062993884086609,0.724506139755249,0.428011417388916,3,False,Derwent at Rowlands Gill,0.08179324865341187,2.3873720270198104
23008,0.8074567317962646,0.802951455116272,-0.009899258613586426,4,False,Rede at Rede Bridge,0.004505276679992676,2.538058205908395
23011,0.8144111037254333,0.78936368227005,-0.11580193042755127,1,False,Kielder Burn at Kielder,0.0250474214553833,1.767823498007517
24001,0.8444902896881104,0.8301209211349487,-0.4234405755996704,3,False,Wear at Sunderland Bridge,0.014369368553161621,2.8203197081465268
24003,0.7998621463775635,0.7658594846725464,-0.7317706346511841,3,False,Wear at Stanhope,0.03400266170501709,2.2392994791268923
24004,0.8351766467094421,0.8284978270530701,-1.1922848224639893,3,False,Bedburn Beck at Bedburn,0.00667881965637207,1.86993541064686
24005,0.7705209255218506,0.7304286360740662,0.034215450286865234,3,False,Browney at Burnhall,0.040092289447784424,2.252828768040592
25001,0.8398851752281189,0.8426618576049805,0.2167271375656128,2,False,Tees at Darlington Broken Scar,-0.0027766823768615723,2.928237059917442
25006,0.7979220747947693,0.6926174163818359,-1.7919023036956787,2,False,Greta at Rutherford Bridge,0.10530465841293335,1.938569756221061
25012,0.8500757217407227,0.6148236989974976,-2.1807467937469482,3,False,Harwood Beck at Harwood,0.2352520227432251,1.3905818785504354
25020,0.8018262386322021,0.7964708209037781,-0.43526792526245117,4,False,Skerne at Preston le Skerne,0.005355417728424072,2.1840380786268887
26003,0.6371787786483765,0.3441172242164612,-129.89735412597656,3,True,Foston Beck at Foston Mill,0.2930615544319153,1.7751733854247869
27001,0.8568820953369141,0.8532050251960754,-0.1601102352142334,0,False,Nidd at Hunsingore Weir,0.003677070140838623,2.69365661213802
27003,0.9067401885986328,0.8990856409072876,-8.616477012634277,3,False,Aire at Beal,0.007654547691345215,3.2868986231503685
27006,0.8344828486442566,0.785408079624176,0.4017270803451538,4,False,Don at Sheffield Hadfields,0.049074769020080566,2.562150059232882
27007,0.8451747894287109,0.8336623311042786,-0.34252870082855225,1,False,Ure at Westwick,0.011512458324432373,2.9602757055405062
27009,0.8444874286651611,0.821215808391571,-6.592437744140625,0,False,Ouse at Skelton,0.023271620273590088,3.518619210629076
27021,0.8691937923431396,0.8213514685630798,-1.3070259094238281,1,False,Don at Doncaster,0.047842323780059814,3.0978990773214536
27023,0.8084352016448975,0.7856185436248779,-0.6301580667495728,1,False,Dearne at Barnsley Weir,0.02281665802001953,2.077585906367243
27025,0.7981934547424316,0.782070517539978,-1.124014139175415,2,False,Rother at Woodhouse Mill,0.016122937202453613,2.5501427090794015
27026,0.8141670227050781,0.8009313941001892,-0.34535467624664307,0,False,Rother at Whittington,0.013235628604888916,2.222794481113707
27029,0.8871965408325195,0.8731372356414795,-0.0012166500091552734,1,False,Calder at Elland,0.014059305191040039,2.532423119067103
27030,0.8045716881752014,0.7339254021644592,-2.721214771270752,1,False,Dearne at Adwick,0.07064628601074219,2.4927324592231748
27032,-0.0662159919738769,-23.058687210083008,-121.22648620605469,0,False,Hebden Beck at Hebden,22.99247121810913,1.3471347829100198
27034,0.8545443415641785,0.8383060097694397,-0.41001713275909424,4,False,Ure at Kilgram Bridge,0.01623833179473877,2.7083614036647377
27035,0.8824671506881714,0.8617637157440186,-0.26944029331207275,2,False,Aire at Kildwick Bridge,0.020703434944152832,2.4523845212062794
27038,0.11387699842453,-5.5205841064453125,-7.2454938888549805,4,False,Costa Beck at Gatehouses,5.6344611048698425,0.9469432706978254
27042,0.8213276863098145,0.7783956527709961,-0.6803380250930786,1,False,Dove at Kirkby Mills,0.04293203353881836,1.7806053058389697
27047,0.8673909306526184,0.7695649862289429,-1.2736778259277344,3,False,Snaizeholme Beck at Low Houses,0.09782594442367554,1.0546130545568877
27051,0.836574912071228,0.7841155529022217,-0.2555736303329468,3,False,Crimple at Burn Bridge,0.05245935916900635,0.9122220565324155
27071,0.8172096014022827,0.7791506052017212,-3.133608818054199,1,False,Swale at Crakehill,0.03805899620056152,3.1317533581439294
28001,0.6096096634864807,0.1982194185256958,0.2224634289741516,3,False,Derwent at Yorkshire Bridge,0.4113902449607849,2.1027766148834415
28008,0.8604312539100647,0.8144131898880005,-0.5697202682495117,2,False,Dove at Rocester Weir,0.04601806402206421,2.59986124768202
28009,0.8694016337394714,0.8696532249450684,-2.596684455871582,2,False,Trent at Colwick,-0.00025159120559692383,3.873111834485089
28012,0.7958291172981262,0.7878978252410889,-0.7169042825698853,0,False,Trent at Yoxall,0.007931292057037354,3.081559721641072
28018,0.8836408257484436,0.8625267744064331,-0.9994579553604126,4,False,Dove at Marston on Dove,0.021114051342010498,2.9464866534860965
28022,0.8340030908584595,0.8246353268623352,-5.954306602478027,3,False,Trent at North Muskham,0.009367763996124268,3.9143124750612914
28024,0.8267924785614014,0.8247188329696655,-5.496448516845703,3,False,Wreake at Syston Mill,0.00207364559173584,2.62015688394582
28026,0.799685001373291,0.7635908126831055,-0.8371732234954834,1,False,Anker at Polesworth,0.03609418869018555,2.570052330393215
28031,0.826366126537323,0.767329216003418,-3.1600284576416016,3,False,Manifold at Ilam,0.05903691053390503,2.170672340315576
28039,0.7208184003829956,0.41542303562164307,-0.605154275894165,1,False,Rea at Calthorpe Park,0.30539536476135254,1.8674085565227911
28040,0.7892324328422546,0.6334701776504517,-0.021155118942260742,0,False,Trent at Stoke-On-Trent,0.15576225519180298,1.7672300981107183
28043,0.8479262590408325,0.8120216131210327,0.4770966172218323,3,False,Derwent at Chatsworth,0.035904645919799805,2.5370126991458206
28046,0.848414957523346,0.6466180682182312,-1.2489287853240967,4,False,Dove at Izaak Walton,0.20179688930511475,1.9329301428307895
28048,0.7849900722503662,0.7693317532539368,-2.044018507003784,1,False,Amber at Wingfield Park,0.015658318996429443,2.109376031404376
28050,0.7514420747756958,0.6630814075469971,-1.7505829334259033,3,False,Torne at Auckley,0.08836066722869873,2.114610984232173
28052,0.7686808109283447,0.766804039478302,-1.118577480316162,0,False,Sow at Great Bridgeford,0.0018767714500427246,2.1515537045429753
28067,0.8598531484603882,0.8556410670280457,-2.6902177333831787,4,False,Derwent at Church Wilne,0.004212081432342529,3.0706362261828377
28080,0.7912848591804504,0.18692320585250854,-2.4202911853790283,4,False,Tame at Lea Marston Lakes,0.6043616533279419,2.9004272155599997
28082,0.8653265237808228,0.8633043169975281,-1.1424281597137451,0,False,Soar at Littlethorpe,0.0020222067832946777,2.2565974927628454
28085,0.905135989189148,0.9055098295211792,0.2273167371749878,2,False,Derwent at St Mary's Bridge,-0.00037384033203125,3.021606848211076
29002,0.6888939142227173,0.6582069993019104,-0.9806054830551147,4,True,Great Eau at Claythorpe Mill,0.030686914920806885,1.9053640687668922
29003,0.7064652442932129,0.6909641027450562,-3.5768141746520996,1,True,Lud at Louth,0.015501141548156738,1.7460111077519258
29005,0.3064011335372925,0.22359734773635864,-24.83493995666504,4,False,Rase at Bishopbridge,0.08280378580093384,1.8011978344591488
30001,0.8384559750556946,0.8086341023445129,-2.5807180404663086,0,False,Witham at Claypole Mill,0.02982187271118164,2.4708219495400128
30004,0.6556258797645569,0.5571422576904297,-3.5523204803466797,4,False,Lymn at Partney Mill,0.0984836220741272,1.7788022040132387
30005,0.7766292095184326,0.7696043848991394,-0.9207602739334106,4,True,Witham at Saltersford Total,0.007024824619293213,2.0915262726310906
30011,0.7962015867233276,0.8066504597663879,0.557201623916626,3,False,Bain at Goulceby Bridge,-0.010448873043060303,1.809896246602439
30012,0.7557295560836792,0.7609509825706482,-1.081754446029663,0,False,Stainfield Beck at Cream Poke Farm,-0.005221426486968994,1.582290682718994
30014,0.7501037120819092,0.7290824055671692,-0.2538151741027832,2,False,Pointon Lode at Pointon,0.02102130651473999,1.0386201619497029
31002,0.7052291631698608,0.3742843270301819,-0.3374394178390503,3,False,Glen at Kates Br & King St Br,0.33094483613967896,2.5287624855106072
31006,-0.2769409418106079,-1.9225373268127441,-6.836670875549316,4,False,Gwash at Belmesthorpe,1.6455963850021362,2.173681489728459
31010,0.7444839477539062,0.5986796617507935,-4.622777462005615,4,False,Chater at Fosters Bridge,0.1458042860031128,1.8376515578463926
31021,0.7824755907058716,0.7865327596664429,-25.092853546142578,4,False,Welland at Ashley,-0.004057168960571289,2.3928551693895352
31023,0.6378710865974426,0.48615747690200806,-0.36202168464660645,2,False,West Glen at Easton Wood,0.15171360969543457,0.6414741105040995
32003,0.7240424752235413,0.6984940767288208,-0.38248884677886963,1,False,Harpers Brook at Old Mill Bridge,0.02554839849472046,1.8479426388452236
32004,0.8115738034248352,0.7912139296531677,-5.007423400878906,1,False,Ise Brook at Harrowden,0.02035987377166748,2.2886068903909687
32006,0.8484240174293518,0.7936093807220459,-7.154660224914551,1,False,Nene/Kislingbury at Upton Total,0.05481463670730591,2.343782654669529
32008,0.8663110136985779,0.8598974943161011,-1.6855521202087402,0,False,Nene/Kislingbury at Dodford,0.006413519382476807,2.0181177205910004
33006,0.550249457359314,0.41471678018569946,-6.6682047843933105,0,False,Wissey at Northwold Total,0.1355326771736145,2.4139029975044397
33007,0.7580540776252747,0.47688740491867065,-17.30201530456543,1,False,Nar at Marham,0.281166672706604,2.168468018854484
33012,0.7924656867980957,0.7521377801895142,-2.1177661418914795,2,False,Kym at Meagre Farm,0.04032790660858154,2.1403823245594022
33013,0.3194342851638794,0.018093407154083252,-9.468849182128906,3,False,Sapiston at Rectory Bridge,0.30134087800979614,2.292610452838321
