model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage,fit_s
spatial_raw,83,0.7838183641433716,0.7686688104593655,6.024096385542169,-0.8829745054244995,-20.4523983001709,-14.896721,-7.781577110290527,64.172844,126.26,0.5728952772073922,180.0
spatial_log1p,83,0.7893322706222534,0.769487603037393,4.819277108433735,-1.256937026977539,-25.69087791442871,-21.387625,-13.715153694152832,56.728584,126.26,0.5341090577230208,240.0
gauged_same83_control,83,0.8315863609313965,0.8228025029599364,1.2048192771084338,-0.6858184337615967,-22.146129608154297,-16.027450561523438,-9.393203735351562,59.108970642089844,126.26000213623047,0.5646817248459959,
