model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage
persistence_L1,416,0.5380248427391052,0.7689935808655775,2.644230769230769,-3.251842498779297,-37.681447982788086,0.0,0.0,244.38,244.38,0.7110908261068005
weather_L1,416,0.7019811868667603,0.7284330633647239,2.644230769230769,-2.578569173812866,-37.53414344787598,-22.463871,-17.84147548675537,62.143665,244.38,0.625855773619352
ar_L1,416,0.778802365064621,0.8039119113392877,0.2403846153846154,-2.0957592725753784,-33.59573936462402,-18.962276,-13.629689693450928,69.680916,244.38,0.6743496120492926
ar_donor_L1,416,0.7776383757591248,0.8023362403020473,0.0,-2.1531155109405518,-34.10226058959961,-18.941916,-14.143470287322998,62.021317,244.38,0.6811229625554104
ar_perfect_L1,416,0.8589573204517365,0.869195933075575,0.0,-0.5942450761795044,-21.63916778564453,-15.03622,-8.725538730621338,101.37926,244.38,0.5370034373899795
persistence_L2,416,0.22726592421531677,0.6136239070600483,27.403846153846157,-5.173533916473389,-56.37767791748047,0.0,0.0,244.38,244.38,0.6725633417028076
ar_donor_L2,416,0.4847649335861206,0.5695770966715428,0.2403846153846154,-5.594555139541626,-65.9609146118164,-47.25067,-35.97161102294922,41.31186,244.38,0.731568135128966
persistence_L3,416,0.07791534066200256,0.5390161523512456,43.02884615384615,-6.054382801055908,-62.109880447387695,0.0,0.0,244.38,244.38,0.648960545189194
ar_donor_L3,416,0.39014264941215515,0.4735468189391659,0.4807692307692308,-6.628965616226196,-71.49664306640625,-53.984844,-42.281036376953125,32.37253,244.38,0.724437342263182
