gid,wy,date,obs,miss_tree,miss_lstm,tree_q99_ratio,miss_both,month,area_log10
37018,2016,2016-06-23,28.97,True,True,0.8596475,True,6,1.6506959797606109
37018,2021,2021-01-14,23.79,True,True,0.8045513,True,1,1.6506959797606109
37019,2016,2016-06-23,22.97,True,True,0.8969682,True,6,1.7121444142148858
37020,2014,2014-02-07,14.31,True,True,0.91953784,True,2,2.1253185781235264
39007,2015,2015-08-27,4.44,True,True,0.9351219,True,8,2.5560611590095323
39007,2016,2016-06-24,5.55,True,True,0.9227701,True,6,2.5560611590095323
39012,2015,2014-11-23,8.75,True,True,0.7998303,True,11,1.8627870982353443
39012,2016,2016-06-23,11.85,True,True,0.98367155,True,6,1.8627870982353443
39023,2020,2020-08-13,1.16,True,True,0.9640737,True,8,2.1276877875398506
39025,2015,2015-01-15,8.21,True,True,0.77697724,True,1,2.1523189274246453
39025,2016,2016-01-11,8.15,True,True,0.8429496,True,1,2.1523189274246453
39061,2015,2015-04-14,5.15,True,True,0.65304804,True,4,0.6009728956867483
39061,2018,2018-04-21,6.82,True,True,0.7906746,True,4,0.6009728956867483
39081,2014,2014-02-08,9.17,True,True,0.82760584,True,2,2.3684728384403617
40005,2015,2015-01-16,10.5,True,True,0.7755774,True,1,2.4441228994129194
40005,2021,2020-12-28,14.14,True,True,0.7420555,True,12,2.4441228994129194
40013,2013,2012-11-04,8.52,True,True,0.5324935,True,11,1.9920672600276668
40013,2016,2016-06-25,7.16,True,True,0.8805115,True,6,1.9920672600276668
41001,2018,2017-12-31,32.66,True,True,0.9408696,True,12,1.2332500095411003
41001,2020,2020-03-05,58.74,True,True,0.64746505,True,3,1.2332500095411003
41001,2021,2020-11-15,46.98,True,True,0.71046424,True,11,1.2332500095411003
41001,2022,2021-10-20,44.07,True,True,0.87524235,True,10,1.2332500095411003
41003,2017,2017-02-01,16.69,True,True,0.9554107,True,2,2.1150443952584133
41003,2022,2021-10-21,17.78,True,True,0.93994147,True,10,2.1150443952584133
41006,2016,2016-01-03,24.42,True,True,0.98430157,True,1,1.9501700598082001
41006,2020,2020-02-16,34.79,True,True,0.75218,True,2,1.9501700598082001
41006,2021,2020-11-15,31.95,True,True,0.8549026,True,11,1.9501700598082001
41006,2022,2021-10-20,20.98,True,True,0.91985846,True,10,1.9501700598082001
41012,2017,2017-02-01,20.27,True,True,0.7801219,True,2,1.9713686367914234
41012,2018,2017-12-27,20.63,True,True,0.75956726,True,12,1.9713686367914234
41012,2022,2021-10-21,22.27,True,True,0.91343004,True,10,1.9713686367914234
41022,2019,2019-02-08,13.66,True,True,0.9794382,True,2,1.7196626830180466
41027,2017,2016-11-19,5.93,True,True,0.8978564,True,11,1.5589484459780396
41027,2021,2021-01-20,27.36,True,True,0.85318446,True,1,1.5589484459780396
42003,2012,2012-04-29,14.01,True,True,0.84264714,True,4,1.9994785336793102
42003,2013,2012-12-20,22.84,True,True,0.831664,True,12,1.9994785336793102
42003,2016,2016-01-27,22.32,True,True,0.7474261,True,1,1.9994785336793102
42003,2017,2017-01-31,11.74,True,True,0.75366557,True,1,1.9994785336793102
42011,2021,2021-07-12,18.59,True,True,0.486204,True,7,1.7423322823571483
43006,2022,2021-10-21,6.84,True,True,0.9596392,True,10,2.3337091828972722
43007,2012,2012-07-09,13.69,True,True,0.6677662,True,7,3.026161319803131
43007,2021,2021-01-22,6.42,True,True,0.82087666,True,1,3.026161319803131
43007,2022,2021-11-02,7.42,True,True,0.48608318,True,11,3.026161319803131
45001,2015,2014-12-19,13.75,True,True,0.75519276,True,12,2.7840107110782126
45012,2018,2018-03-04,14.84,True,True,0.70506644,True,3,2.4209948296439574
45012,2020,2019-11-23,16.95,True,True,0.8045476,True,11,2.4209948296439574
48005,2019,2019-03-05,11.81,True,True,0.8659316,True,3,1.2789821168654432
49004,2012,2012-04-29,10.46,True,True,0.88580287,True,4,1.6108730003800518
49004,2018,2018-03-14,14.55,True,True,0.8730773,True,3,1.6108730003800518
50006,2018,2018-01-21,27.0,True,True,0.8008847,True,1,2.514547752660286
52009,2015,2015-08-23,7.47,True,True,0.75315166,True,8,1.7646243978509815
52010,2015,2015-02-22,7.14,True,True,0.8396652,True,2,2.139438274158168
52010,2017,2016-11-21,22.12,True,True,0.89813507,True,11,2.139438274158168
52010,2018,2018-01-21,14.36,True,True,0.9243413,True,1,2.139438274158168
52010,2020,2019-10-13,13.3,True,True,0.9096809,True,10,2.139438274158168
52011,2012,2012-07-09,9.24,True,True,0.8454214,True,7,1.9275756546911105
53008,2018,2018-04-02,9.29,True,True,0.83675146,True,4,2.4845418376876873
53008,2021,2020-12-27,12.88,True,True,0.9395506,True,12,2.4845418376876873
53013,2016,2016-01-09,8.08,True,True,0.6550558,True,1,1.9976484548962061
53013,2018,2018-03-12,6.64,True,True,0.63849026,True,3,1.9976484548962061
53013,2022,2021-10-31,8.7,True,True,0.9459332,True,10,1.9976484548962061
54001,2011,2011-02-08,6.72,True,True,0.5788973,True,2,3.636477866341889
54001,2019,2019-03-19,5.54,True,True,0.8018792,True,3,3.636477866341889
54001,2022,2022-02-23,9.78,True,True,0.8227399,True,2,3.636477866341889
54003,2011,2011-02-05,84.73,True,True,0.9848146,True,2,1.8694077493822019
54004,2013,2012-11-25,20.59,True,True,0.8951279,True,11,2.4208300620261136
54007,2014,2014-06-04,10.77,True,True,0.74582094,True,6,2.5062749712869747
54007,2020,2019-11-14,26.5,True,True,0.70750386,True,11,2.5062749712869747
54007,2022,2021-10-31,11.74,True,True,0.9088048,True,10,2.5062749712869747
54015,2012,2012-07-07,11.65,True,True,0.9324559,True,7,2.199508348896786
54015,2013,2012-11-25,40.9,True,True,0.4874778,True,11,2.199508348896786
54015,2015,2014-11-09,5.87,True,True,0.9156125,True,11,2.199508348896786
54015,2018,2017-12-27,42.54,True,True,0.3090851,True,12,2.199508348896786
54015,2020,2019-11-14,31.3,True,True,0.52405214,True,11,2.199508348896786
54017,2015,2015-01-15,11.09,True,True,0.9134965,True,1,2.458501874686394
54017,2018,2018-03-06,11.63,True,True,0.5656145,True,3,2.458501874686394
54017,2019,2019-06-14,9.89,True,True,0.86635125,True,6,2.458501874686394
54017,2022,2021-11-01,7.45,True,True,0.82109,True,11,2.458501874686394
54018,2014,2014-02-05,9.6,True,True,0.9777328,True,2,2.2376945086640565
54019,2021,2020-12-24,12.27,True,True,0.996935,True,12,2.539151403445493
54028,2016,2015-11-30,31.19,True,True,0.91321564,True,11,2.8916155010160765
54029,2022,2022-02-21,10.72,True,True,0.9301072,True,2,3.171334388111691
54032,2011,2011-02-09,4.14,True,True,0.65586007,True,2,3.836632950051533
54034,2012,2012-07-13,30.52,True,True,0.49556217,True,7,1.6450290647211425
54034,2020,2020-02-15,60.97,True,True,0.35412028,True,2,1.6450290647211425
54036,2012,2012-04-29,10.42,True,True,0.9959457,True,4,1.9676883504533125
54036,2015,2015-01-15,5.78,True,True,0.9813252,True,1,1.9676883504533125
55002,2017,2017-02-23,10.81,True,True,0.6147982,True,2,3.277439588614276
55007,2017,2017-02-22,16.16,True,True,0.71974695,True,2,3.1083586510049313
55016,2017,2016-11-21,17.72,True,True,0.74245614,True,11,2.5550218584761524
55018,2018,2018-03-06,11.85,True,True,0.688725,True,3,2.1578494804529016
55018,2021,2021-01-30,13.71,True,True,0.74814045,True,1,2.1578494804529016
55023,2020,2020-02-18,17.53,True,True,0.71593297,True,2,3.6038196572149803
55023,2022,2022-02-22,11.55,True,True,0.77196044,True,2,3.6038196572149803
55025,2020,2020-02-15,40.89,True,True,0.92685556,True,2,2.1193548812964265
55029,2014,2013-12-23,27.01,True,True,0.8266538,True,12,2.55024058653017
55029,2019,2019-04-05,12.56,True,True,0.88037676,True,4,2.55024058653017
55029,2021,2020-12-23,28.96,True,True,0.74354917,True,12,2.55024058653017
56001,2013,2012-12-29,25.35,True,True,0.9256112,True,12,2.9605896808839542
57006,2017,2017-02-25,26.59,True,True,0.905882,True,2,2.0115281538575394
57007,2020,2020-02-15,95.83,True,True,0.72942024,True,2,2.2874658053432286
58001,2012,2012-07-18,23.04,True,True,0.9899078,True,7,2.1980519517243446
58008,2012,2012-05-10,35.02,True,True,0.94284433,True,5,1.6378898165807905
60002,2016,2015-12-19,69.33,True,True,0.99873537,True,12,2.4752788388753837
60002,2017,2017-06-10,17.62,True,True,0.9932235,True,6,2.4752788388753837
60003,2012,2012-08-05,16.22,True,True,0.688332,True,8,2.3353174594448496
60003,2017,2017-02-03,20.91,True,True,0.910425,True,2,2.3353174594448496
60003,2022,2021-10-30,26.91,True,True,0.95200795,True,10,2.3353174594448496
60010,2020,2020-02-16,52.4,True,True,0.9483556,True,2,3.0383816914676958
64002,2018,2017-11-22,59.75,True,True,0.85415184,True,11,1.874655732598101
64002,2020,2020-07-03,54.79,True,True,0.82617986,True,7,1.874655732598101
65005,2012,2012-09-25,29.94,True,True,0.9910346,True,9,1.2882492255719862
65008,2021,2020-11-01,207.65,True,True,0.74066323,True,11,1.0141003215196205
66001,2011,2011-02-06,10.46,True,True,0.9309901,True,2,2.606982940624488
67015,2011,2011-02-06,31.61,True,True,0.7127483,True,2,3.003770631717043
67015,2019,2019-03-16,22.3,True,True,0.90401715,True,3,3.003770631717043
68004,2016,2016-01-03,7.73,True,True,0.95555246,True,1,1.9546765869186435
69002,2016,2015-12-26,74.43,True,True,0.7224363,True,12,2.7420806724102023
72005,2016,2015-12-05,180.5,True,True,0.48244023,True,12,2.3409197934001624
73005,2016,2015-12-05,159.17,True,True,0.51626664,True,12,2.326827236974273
76005,2013,2012-12-31,23.62,True,True,0.8886979,True,12,2.791143050790596
76005,2016,2015-12-05,126.34,True,True,0.52714264,True,12,2.791143050790596
76005,2018,2017-11-22,39.83,True,True,0.86682963,True,11,2.791143050790596
76005,2021,2021-03-28,30.3,True,True,0.98647684,True,3,2.791143050790596
79005,2017,2017-06-29,17.58,True,True,0.58695066,True,6,2.3751329935171643
80001,2018,2018-01-23,24.19,True,True,0.85119647,True,1,2.2946205165874205
80001,2020,2019-12-10,35.91,True,True,0.8365022,True,12,2.2946205165874205
82003,2022,2021-10-31,24.61,True,True,0.94850343,True,10,2.5112682318257082
84008,2013,2013-04-17,27.11,True,True,0.84733826,True,4,1.7435881501599038
85002,2013,2012-11-19,40.98,True,True,0.85834116,True,11,2.340563083333371
85002,2019,2019-02-08,23.76,True,True,0.9448441,True,2,2.340563083333371
85002,2021,2021-02-19,29.08,True,True,0.84722644,True,2,2.340563083333371
