q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.05341543481463403,0.044147843942505136,0.012868410753211976,0.09879078256901666,0.000653452406883032,0.0016161616161616162,0.3879440426826477
q25,0.25,0.18016811674505226,0.17130800836985807,0.1163586584531143,0.24663472507415013,0.03457852319756045,0.021414141414141413,0.5900590419769287
q50,0.5,0.4780795201438865,0.47793923874209876,0.38694957791467033,0.5740213522760755,0.1518732302330647,0.09616161616161616,0.7309228181838989
q75,0.75,0.7669562425929468,0.7734428473648186,0.6903947068218115,0.8325347935204198,0.38504683075582663,0.2917171717171717,0.8782364130020142
q95,0.95,0.9584380490014358,0.9629249372575861,0.9313789062582776,0.9798083504449007,0.7584948812894794,0.6909090909090909,1.1185438632965088
q99,0.99,0.991166505058234,0.9936116814966918,0.9831165868126853,0.9974903034451289,0.9192986277499455,0.8816161616161616,1.3314483165740967
