model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage
lstm_ft20_ens_q_L3 q50,416,0.5866826772689819,0.5933316273461278,0.0,-4.113603353500366,-55.19871520996094,-38.485542,-31.055810928344727,163.1139,244.38,0.500456308464522
lstm_ft20_ens_q_L3 q95 as point,416,0.50876185297966,0.649137452355863,6.009615384615385,-2.654009461402893,-31.51111602783203,-6.4825444,3.2666563987731934,267.96066,244.38,0.8730321697467488
lstm_ft20_ens_q_L3 q99 as point,416,0.2939986288547516,0.4293893681245413,30.76923076923077,-2.553319215774536,-16.616275787353516,12.553406,24.519729614257812,330.8063,244.38,0.9293862651152178
