q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.07252920495247393,0.05863563769107917,0.01562856490987908,0.14671991063768328,0.00043563493792202136,0.0016161616161616162,0.3900606036186218
q25,0.25,0.19062319289890348,0.18229523157654576,0.11417485912078218,0.28188455395847595,0.030766717490742758,0.020202020202020204,0.5874775648117065
q50,0.5,0.49208338555374526,0.5036504677161762,0.3568332192562172,0.610654802646589,0.1397843607057286,0.08464646464646465,0.7233198285102844
q75,0.75,0.7604858587124536,0.7657996805840748,0.6786447638603696,0.8349304129591604,0.3734480505336528,0.27616161616161616,0.8707471489906311
q95,0.95,0.9558336246682629,0.959958932238193,0.9280173397216518,0.9787816563997263,0.7620888695273361,0.6872727272727273,1.113609790802002
q99,0.99,0.9898890288762388,0.9921251360576063,0.9819758156513804,0.9972621492128679,0.9149967327379656,0.8731313131313131,1.336196780204773
