lead,route,n_stations,median_NSE_z,MAE_m,amax_day_err_m,amax_day_err_sd,q90_hit,q90_FAR,q90_CSI,q95_hit,q95_FAR,q95_CSI,q99_hit,q99_FAR,q99_CSI
1,direct,217,0.8567539,0.04352978460884337,-0.2243569534424167,-1.0113266706466675,0.7628656032935944,0.1738373687159496,0.6573488261797487,0.6592419160918813,0.19081400165700083,0.5705471074681904,0.47539991353220923,0.22824256035934867,0.41679933287847776
1,flowmap,217,0.7979873,0.05857302294643184,-0.27677891771527285,-1.2191534042358398,0.750558656143016,0.25354980677227595,0.5980807522609054,0.6465439051656858,0.2956963305071115,0.5085105677029762,0.42810203199308255,0.35407697325505544,0.34673296449331187
1,persist,217,0.7206923,0.05877119126302953,-0.3050000261168755,-1.4896905422210693,0.7027178758957763,0.2988335310399367,0.5407623888182973,0.6211267902718893,0.38008925939960425,0.4498197482585849,0.5085170773886727,0.4913949667041425,0.34098683829071724
2,direct,217,0.7261319,0.06385841401548696,-0.4979381985040979,-2.220918655395508,0.6333889005420563,0.2651741229811596,0.5155501639933504,0.4832991781632265,0.30113341276387745,0.4,0.25722443329295724,0.33445265278710545,0.22778118296046582
2,flowmap,217,0.6569743,0.07892720170195,-0.44251405952266143,-1.9196839332580566,0.6732758525518596,0.358231258155491,0.4893639215875079,0.5351657406038071,0.4128187297171998,0.38885818673052713,0.3093960892888043,0.5095995611629183,0.2341233468639518
2,persist,217,0.45167875,0.0931913000165263,-0.6204999789362943,-2.827302932739258,0.5549397776575662,0.44683730962232593,0.38317350936837774,0.4471087824562145,0.55370210253274,0.28758374213537347,0.3069735248312857,0.6931326760076112,0.1812793787042714
3,direct,217,0.6576078,0.07295180503987984,-0.5833322277051135,-2.5896224975585938,0.580003977548946,0.3119741015491887,0.4592296454409462,0.4162526689639135,0.3475379415468222,0.34071049125296327,0.18634239224510993,0.38678439191113645,0.16674411400247832
3,flowmap,217,0.5785863,0.08976516897781961,-0.5257069898248401,-2.2765963077545166,0.6357007115393114,0.40708985985160756,0.44254376519090544,0.48208358877872437,0.4639146175184541,0.34017035368527826,0.249697074606197,0.5679844264749925,0.18798462240177233
3,persist,217,0.288908,0.10685257831125482,-0.7070000828402101,-3.235168218612671,0.4911499535952623,0.5105319371497153,0.3247731490275728,0.3850284337145636,0.6158162296707237,0.2380877681477705,0.24848537303098495,0.7515361315447858,0.14186184405573674
