model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage
lstm_ft_ens_q_L1 q50,416,0.8727133274078369,0.8578531595589926,0.0,-0.5862765908241272,-22.04897403717041,-10.780025,-9.342992305755615,153.56293,244.38,0.5717545060460871
lstm_ft_ens_q_L1 q95 as point,416,0.641248494386673,0.5604735530167381,2.644230769230769,-1.416704535484314,16.05696678161621,30.95914,28.83894443511963,258.04987,244.38,0.9534800000292639
lstm_ft_ens_q_L1 q99 as point,416,0.06402844190597534,0.08945644014542192,44.71153846153847,-4.365682125091553,41.39182662963867,61.544632,59.86553955078125,325.66122,244.38,0.9860825918320785
