q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.0639798989892327,0.05824032779663073,0.02110426648414328,0.10814832801715636,0.0010890873448050533,0.0006060606060606061,0.41643384099006653
q25,0.25,0.17779456160139664,0.17267735057864636,0.1136208076659822,0.24229979466119098,0.049063384883467655,0.038181818181818185,0.6299858093261719
q50,0.5,0.5687863756395626,0.5717545060460871,0.47889573351585674,0.6619895049053159,0.18748638640818993,0.15535353535353535,0.7526737451553345
q75,0.75,0.8166260996519372,0.8179329226557153,0.7564453570613735,0.8754277891854894,0.4135264648224788,0.3373737373737374,0.8809875249862671
q95,0.95,0.9498299263637223,0.9534800000292639,0.9184545993328176,0.9786675792835957,0.6930407318666957,0.6111111111111112,1.0942331552505493
q99,0.99,0.983723722139036,0.9860825918320785,0.9680705355442553,0.9963495322838238,0.8407209758222609,0.7838383838383839,1.3199559450149536
