gid,nse_raw,nse_gw,nse_shuffled,d_gw,d_shuffled,well_id,dist_km,aquifer,area,frac_high_perc,gauge_name,all,chalk,chalk_matched,non_chalk,failures
6007,0.8587746024131775,0.8606167435646057,0.863919198513031,0.0018421411514282227,0.005144596099853516,,387.4292914649072,,3.2626266705807416,0.0,Ness at Ness-side,True,False,False,True,False
7001,0.6715590953826904,0.6709342002868652,0.6736323833465576,-0.0006248950958251953,0.0020732879638671875,,371.6256288094243,,2.6186650889403156,0.0,Findhorn at Shenachie,True,False,False,True,False
7002,0.6846078634262085,0.6814112663269043,0.68721604347229,-0.0031965970993041992,0.002608180046081543,,387.74877662992054,,2.8930790006006526,0.0,Findhorn at Forres,True,False,False,True,False
7003,0.7578054666519165,0.7731738686561584,0.7694450616836548,0.015368402004241943,0.011639595031738281,,386.371432572337,,2.33577873881047,0.0,Lossie at Sheriffmills,True,False,False,True,False
8004,0.6891534924507141,0.6871911287307739,0.6869947910308838,-0.0019623637199401855,-0.0021587014198303223,,360.43422023026613,,2.7329563695756245,0.0,Avon at Delnashaugh,True,False,False,True,False
8005,0.7197362184524536,0.7203104496002197,0.723289966583252,0.0005742311477661133,0.00355374813079834,,353.6900869758722,,3.1008218389469513,0.0,Spey at Boat of Garten,True,False,False,True,False
8006,0.7430554628372192,0.7491486072540283,0.7444674968719482,0.006093144416809082,0.001412034034729004,,372.52149092904693,,3.455210427775805,0.0,Spey at Boat o Brig,True,False,False,True,False
8009,0.6740823984146118,0.6725947856903076,0.6705663204193115,-0.0014876127243041992,-0.003516077995300293,,357.69628101645117,,2.4348881208673157,0.0,Dulnain at Balnaan Bridge,True,False,False,True,False
9002,0.7950109839439392,0.8061244487762451,0.8055179119110107,0.011113464832305908,0.010506927967071533,,362.3102228339686,,2.982917669520506,0.0,Deveron at Muiresk,True,False,False,True,False
9003,0.7898980975151062,0.7872741222381592,0.7907007932662964,-0.0026239752769470215,0.0008026957511901855,,367.1505009883549,,2.2552001166571176,0.0,Isla at Grange,True,False,False,True,False
9005,0.6748462915420532,0.6785084009170532,0.681682825088501,0.003662109375,0.006836533546447754,,349.0592022064452,,1.8329557506045984,0.0,Allt Deveron at Cabrach,True,False,False,True,False
10002,0.7577994465827942,0.7636315822601318,0.7658909559249878,0.0058321356773376465,0.008091509342193604,,356.63314919536015,,2.5128444261207994,0.0,Ugie at Inverugie,True,False,False,True,False
11001,0.8499066829681396,0.8523515462875366,0.8505262732505798,0.0024448633193969727,0.0006195902824401855,,324.38599753996783,,3.103516376024478,0.0,Don at Parkhill,True,False,False,True,False
11003,0.7634883522987366,0.7665300965309143,0.770980715751648,0.0030417442321777344,0.007492363452911377,,332.7873145238562,,2.707519079623743,0.0,Don at Bridge of Alford,True,False,False,True,False
12001,0.7086609601974487,0.7076952457427979,0.7146499156951904,-0.0009657144546508789,0.005988955497741699,,310.39303357678637,,3.139894821423499,0.0,Dee at Woodend,True,False,False,True,False
12002,0.7700648903846741,0.7664461731910706,0.7719992995262146,-0.0036187171936035156,0.0019344091415405273,,309.98537018704604,,3.2632122176175744,0.0,Dee at Park,True,False,False,True,False
14001,0.904593288898468,0.9043903350830078,0.9032637476921082,-0.00020295381546020508,-0.0013295412063598633,,240.28261793146837,,2.489592899821887,0.0,Eden at Kemback,True,False,False,True,False
14002,0.8538455963134766,0.8468101620674133,0.8471871614456177,-0.007035434246063232,-0.006658434867858887,,253.81439171173884,,2.1059187402863726,0.0,Dighty Water at Balmossie Mill,True,False,False,True,False
15006,0.8819364309310913,0.8844122886657715,0.8850358128547668,0.0024758577346801758,0.003099381923675537,,270.08324957316404,,3.6615079101609047,0.0,Tay at Ballathie,True,False,False,True,False
15007,0.8923454284667969,0.8892520666122437,0.8926055431365967,-0.0030933618545532227,0.0002601146697998047,,295.04204210586664,,3.060350265719691,0.0,Tay at Pitnacree,True,False,False,True,False
15010,0.8244328498840332,0.821108877658844,0.8205476999282837,-0.003323972225189209,-0.0038851499557495117,,273.34582678541113,,2.560826880071928,0.0,Isla at Wester Cardean,True,False,False,True,False
15011,0.7129493951797485,0.7095628976821899,0.708530843257904,-0.0033864974975585938,-0.004418551921844482,,297.685355126852,,2.589200942776746,0.0,Lyon at Comrie Bridge,True,False,False,True,False
15012,0.8337042927742004,0.8289870023727417,0.8305966258049011,-0.00471729040145874,-0.0031076669692993164,,297.5312659419174,,3.2217584069681595,0.0,Tummel at Pitlochry,True,False,False,True,False
15013,0.7624183297157288,0.7634236812591553,0.7701718807220459,0.0010053515434265137,0.007753551006317139,,263.95279742029635,,2.238798562713917,0.0,Almond at Almondbank,True,False,False,True,False
16001,0.8808640241622925,0.879991888999939,0.8813612461090088,-0.0008721351623535156,0.0004972219467163086,,262.61243967679826,,2.7669033822355824,0.0,Earn at Kinkell Bridge,True,False,False,True,False
16003,0.7989590167999268,0.7994449138641357,0.7995321154594421,0.0004858970642089844,0.0005730986595153809,,274.8780793042617,,2.0046222657007826,0.0,Ruchill Water at Cultybraggan,True,False,False,True,False
16004,0.9019893407821655,0.9008510708808899,0.9029066562652588,-0.0011382699012756348,0.0009173154830932617,,258.4764884665528,,2.894255124234563,0.0,Earn at Forteviot Bridge,True,False,False,True,False
17001,0.8164653778076172,0.813601553440094,0.8134644031524658,-0.0028638243675231934,-0.003000974655151367,,239.64950758138437,,2.083287569327283,0.0,Carron at Headswood,True,False,False,True,False
17003,0.8048651218414307,0.8006957769393921,0.807952344417572,-0.004169344902038574,0.0030872225761413574,,238.97579359006218,,1.7117228918272347,0.0,Bonny Water at Bonnybridge,True,False,False,True,False
17005,0.8797832727432251,0.8800603151321411,0.8803967833518982,0.0002770423889160156,0.0006135106086730957,,230.7241833987066,,2.2896112463483,0.0,Avon at Polmonthill,True,False,False,True,False
18001,0.7996048927307129,0.8012526631355286,0.8012101650238037,0.0016477704048156738,0.0016052722930908203,,260.93467443212677,,2.2048793337606623,0.0,Allan Water at Kinbuck,True,False,False,True,False
18002,0.7832297086715698,0.7821340560913086,0.7865797281265259,-0.0010956525802612305,0.0033500194549560547,,249.5340644361006,,2.252100248832793,0.0,Devon at Glenochil,True,False,False,True,False
18003,0.8844290971755981,0.8870759606361389,0.8835592865943909,0.0026468634605407715,-0.0008698105812072754,,261.47062140324675,,2.712329754533151,0.0,Teith at Bridge of Teith,True,False,False,True,False
19001,0.8453986644744873,0.8438272476196289,0.842119574546814,-0.0015714168548583984,-0.00327908992767334,,215.19390310368925,,2.5792346673481497,0.0,Almond at Craigiehall,True,False,False,True,False
19006,0.843696653842926,0.8379526734352112,0.8414477109909058,-0.005743980407714844,-0.0022489428520202637,,210.1833346105252,,2.0097482559485536,0.0,Water of Leith at Murrayfield,True,False,False,True,False
19010,0.5993131399154663,0.5875012278556824,0.6093171238899231,-0.011811912059783936,0.010003983974456787,,205.8433918346664,,1.187520720836463,0.0,Braid Burn at Liberton,True,False,False,True,False
20002,0.743852972984314,0.7454558610916138,0.7485437989234924,0.0016028881072998047,0.004690825939178467,,205.39812792233525,,1.40671045860979,0.0,West Peffer Burn at Luffness,True,False,False,True,False
20003,0.7640916109085083,0.7617632150650024,0.7555924654006958,-0.0023283958435058594,-0.0084991455078125,,195.60682371788567,,2.2115743634828506,0.0,Tyne at Spilmersford,True,False,False,True,False
20007,0.8344414234161377,0.837715208530426,0.829595148563385,0.00327378511428833,-0.0048462748527526855,,195.8674289028168,,1.8310374856400253,0.0,Gifford Water at Lennoxlove,True,False,False,True,False
21003,0.8774638772010803,0.8778906464576721,0.8766912221908569,0.0004267692565917969,-0.0007726550102233887,,180.66701660790218,,2.8439363008835103,0.0,Tweed at Peebles,True,False,False,True,False
21006,0.8737713694572449,0.8747525215148926,0.8765567541122437,0.000981152057647705,0.0027853846549987793,,162.16572752896957,,3.1776922985724596,0.0,Tweed at Boleside,True,False,False,True,False
21008,0.8468739986419678,0.8443410992622375,0.8465314507484436,-0.0025328993797302246,-0.0003425478935241699,,148.20314883631858,,3.0498147674147407,0.0,Teviot at Ormiston Mill,True,False,False,True,False
21009,0.8958886861801147,0.8976834416389465,0.8963724970817566,0.0017947554588317871,0.0004838109016418457,,160.38960058869154,,3.643330267155526,0.0,Tweed at Norham,True,False,False,True,False
21011,0.8061915636062622,0.7979466915130615,0.8046897053718567,-0.008244872093200684,-0.0015018582344055176,,160.3466171829016,,2.3663295505191058,0.0,Yarrow Water at Philiphaugh,True,False,False,True,False
21012,0.8626540899276733,0.8599569797515869,0.8634929656982422,-0.0026971101760864258,0.0008388757705688477,,145.90682953515233,,2.5111076199592683,0.0,Teviot at Hawick,True,False,False,True,False
21013,0.8086512088775635,0.8090125918388367,0.8106138110160828,0.00036138296127319336,0.001962602138519287,,166.57868300896126,,2.3126850063887594,0.0,Gala Water at Galashiels,True,False,False,True,False
21015,0.7460974454879761,0.7565499544143677,0.7529135942459106,0.010452508926391602,0.00681614875793457,,163.80574374850232,,2.3786159020312243,0.0,Leader Water at Earlston,True,False,False,True,False
21016,0.777742862701416,0.7688586711883545,0.7841867208480835,-0.008884191513061523,0.0064438581466674805,,174.84091812273238,,2.0750357259221905,0.0,Eye Water at Eyemouth Mill,True,False,False,True,False
21017,0.8471405506134033,0.8449763655662537,0.8482710719108582,-0.002164185047149658,0.001130521297454834,,161.05968219576246,,1.5864747785713966,0.0,Ettrick Water at Brockhoperig,True,False,False,True,False
21018,0.8162961006164551,0.8216067552566528,0.8215195536613464,0.005310654640197754,0.005223453044891357,,183.53348449261242,,2.2405242881123635,0.0,Lyne Water at Lyne Station,True,False,False,True,False
21022,0.7893584370613098,0.7886794805526733,0.7874965667724609,-0.0006789565086364746,-0.001861870288848877,,167.90234913484682,,2.700902651119476,0.0,Whiteadder Water at Hutton Castle,True,False,False,True,False
21023,0.5210555791854858,0.5269770622253418,0.5323595404624939,0.005921483039855957,0.011303961277008057,,154.2494620541673,,2.052886235256382,0.0,Leet Water at Coldstream,True,False,False,True,False
21024,0.8194705247879028,0.8171543478965759,0.8163403272628784,-0.0023161768913269043,-0.003130197525024414,,144.1400727937932,,2.145972902802181,0.0,Jed Water at Jedburgh,True,False,False,True,False
22001,0.8456252813339233,0.8443892002105713,0.843731701374054,-0.0012360811233520508,-0.0018935799598693848,,112.20709682546823,,2.762115641442657,0.0,Coquet at Morwick,True,False,False,True,False
22006,0.8434042930603027,0.845876157283783,0.8459632992744446,0.0024718642234802246,0.0025590062141418457,,87.75139302597994,,2.4372271921907287,0.0,Blyth at Hartford Bridge,True,False,False,True,False
22007,0.8286720514297485,0.8330931067466736,0.8301794528961182,0.004421055316925049,0.001507401466369629,,94.19410397684135,,2.4502645085598513,0.0,Wansbeck at Mitford,True,False,False,True,False
22009,0.8220276236534119,0.8228768706321716,0.8231049180030823,0.0008492469787597656,0.0010772943496704102,,111.62607740129543,,2.53905099433993,0.0,Coquet at Rothbury,True,False,False,True,False
23001,0.8653668761253357,0.8629506826400757,0.8642315864562988,-0.0024161934852600098,-0.0011352896690368652,,74.04353262777242,,3.3369317974628796,0.0,Tyne at Bywell,True,False,False,True,False
