,mu,sd,q90,q95,q99
22001,0.5632889866828918,0.36496129631996155,0.9039999842643738,1.184499979019165,2.0968998908996577
22006,0.2828384041786194,0.18038737773895264,0.4970000088214874,0.6349999904632568,0.9550800037384051
22007,0.7060980796813965,0.36012139916419983,1.1390000581741333,1.319000005722046,1.7182999908924095
22009,0.5605472326278687,0.3322635293006897,0.9715000092983246,1.2369999885559082,1.8142000079154939
23001,1.0225121974945068,0.6578435897827148,1.8142000198364265,2.325000047683716,3.6672399520874004
23004,0.6135772466659546,0.4721875488758087,1.1790000200271606,1.625,2.5607999801635737
23006,0.4283038079738617,0.3057703673839569,0.8389999866485596,1.0721000194549546,1.5304399657249437
23007,0.2143661379814148,0.12290634959936142,0.33500000834465027,0.4350000023841858,0.7328199827671048
23008,0.47687655687332153,0.32194679975509644,0.8560000061988831,1.1267999887466424,1.7909600067138662
23011,0.3492140769958496,0.2549586296081543,0.6510000228881836,0.8828500181436543,1.3687299597263278
24001,0.5278127789497375,0.31215164065361023,0.8840000033378601,1.156000018119812,1.749679985046387
24003,0.40789803862571716,0.3626754879951477,0.9021000087261204,1.1660500109195702,1.7669999599456787
24004,0.32158154249191284,0.20472902059555054,0.5550000071525574,0.6990000009536743,1.0397799968719417
25001,0.8920413851737976,0.34031885862350464,1.3212999939918528,1.5800000429153442,2.1208899712562537
25006,0.35248035192489624,0.27418458461761475,0.7129999995231628,0.8999999761581421,1.2987999677658073
25012,0.3370738625526428,0.22560171782970428,0.6729999780654907,0.8130000233650208,1.0761399734020227
25020,0.24640648066997528,0.1968138962984085,0.41600000858306885,0.6150000095367432,1.2052900052070625
27001,0.22816167771816254,0.21146564185619354,0.4390000104904175,0.5899999737739563,0.9848000168800347
27003,0.8473857641220093,0.5983676314353943,1.4496000289916995,2.046999931335449,3.662419939041134
27006,0.4598156809806824,0.15914811193943024,0.6230000257492065,0.7400000095367432,1.0843800091743478
27007,0.4927973449230194,0.4032069742679596,1.0800000429153442,1.3461999654769887,1.8202000284194917
27009,1.3461261987686157,1.1284515857696533,3.059200000762939,3.969500088691713,5.1579999923706055
27021,0.6655589938163757,0.5918089151382446,1.2380000352859497,1.8020000457763672,3.2662399101257305
27023,0.3035720884799957,0.1743791699409485,0.5040000081062317,0.6489999890327454,0.9867999881505995
27025,0.6089400053024292,0.31390824913978577,0.9890000224113464,1.280000001192093,1.8910999715328203
27026,0.46162861585617065,0.2815401256084442,0.753000020980835,0.9846000075340257,1.6568000173568718
27029,0.5653961896896362,0.1834968626499176,0.796999990940094,0.9296500116586681,1.2602599871158584
27030,0.4080052971839905,0.19078828394412994,0.6430000066757202,0.7745499819517129,1.0857099866867057
27034,0.7973006367683411,0.6777088642120361,1.7029999494552612,2.284299969673156,3.398319978713989
27035,0.5638630390167236,0.43756842613220215,1.1109999418258667,1.5158000230789177,2.1946799373626638
27042,0.34886983036994934,0.18157419562339783,0.5199999809265137,0.6309999823570251,1.0343399524688777
27047,0.2897343039512634,0.24889177083969116,0.652999997138977,0.843999981880188,1.1432000160217293
27071,0.8087470531463623,0.8844205141067505,1.9910000562667847,2.923800039291381,4.331279830932618
28001,0.4349268078804016,0.2488657683134079,0.7749999761581421,0.973499983549118,1.4152000427246136
28008,0.39499765634536743,0.2371404618024826,0.6899999976158142,0.890999972820282,1.2990000247955322
28009,1.5567728281021118,0.6009009480476379,2.411299991607667,2.883149921894073,3.6404900288581845
28012,0.9053388833999634,0.3370956778526306,1.3489999771118164,1.6049500167369832,2.0789999961853027
28018,0.7600350975990295,0.33980104327201843,1.2489999532699585,1.418500006198883,1.97310004234314
28022,1.120192289352417,0.3885239064693451,1.5520000457763672,1.8329999446868896,2.8477999329566983
28024,1.5965646505355835,0.2743286192417145,1.898400020599365,2.2351999282836905,2.780440053939818
28026,0.306456983089447,0.25889119505882263,0.5789999961853027,0.859000027179718,1.3993399810791072
28031,0.2895306944847107,0.24109764397144318,0.5820000171661377,0.8120000064373016,1.2279000401496885
28039,0.2869551479816437,0.23242881894111633,0.6240000128746033,0.8040000200271606,1.1324000239372267
28040,0.20091402530670166,0.16815654933452606,0.4020000100135803,0.5419999957084656,0.8619999885559082
28043,1.1270192861557007,0.4124881625175476,1.5149999856948853,1.7170000076293945,2.294269955158234
28046,0.425577849149704,0.14047490060329437,0.6050000190734863,0.69114998281002,0.871999979019165
28048,0.4354105293750763,0.3373912274837494,0.718999981880188,1.1367499828338623,2.0789499998092658
28050,0.32101741433143616,0.1065184697508812,0.4262999951839458,0.5,0.765999972820282
28052,0.33539241552352905,0.13731980323791504,0.4745999991893772,0.5809999704360962,0.9399999976158142
28067,0.8042176961898804,0.2897240221500397,1.1929999589920044,1.3990000486373901,1.824019961357117
