gid,nse_raw,nse_norm,nse_log1p,nse_lstm,chalk,gauge_name,d_norm,d_log1p,d_lstm
6007,0.8587746024131775,0.859112024307251,0.8601820468902588,0.9016892313957214,False,Ness at Ness-side,0.00033742189407348633,0.0014074444770812988,0.042914628982543945
7001,0.6715590953826904,0.6790811419487,0.6416611075401306,0.6852943301200867,False,Findhorn at Shenachie,0.0075220465660095215,-0.029897987842559814,0.01373523473739624
7002,0.6846078634262085,0.6812942624092102,0.6626288294792175,0.7751317024230957,False,Findhorn at Forres,-0.003313601016998291,-0.021979033946990967,0.09052383899688721
7003,0.7578054666519165,0.7946356534957886,0.7882335782051086,0.8325846195220947,False,Lossie at Sheriffmills,0.03683018684387207,0.03042811155319214,0.07477915287017822
8004,0.6891534924507141,0.6645880341529846,0.6414348483085632,0.6630597710609436,False,Avon at Delnashaugh,-0.024565458297729492,-0.04771864414215088,-0.026093721389770508
8005,0.7197362184524536,0.7334363460540771,0.7222192287445068,0.8094521164894104,False,Spey at Boat of Garten,0.013700127601623535,0.0024830102920532227,0.08971589803695679
8006,0.7430554628372192,0.7520421743392944,0.7629294991493225,0.8075453042984009,False,Spey at Boat o Brig,0.008986711502075195,0.01987403631210327,0.06448984146118164
8009,0.6740823984146118,0.671658456325531,0.6635351181030273,0.7281643152236938,False,Dulnain at Balnaan Bridge,-0.0024239420890808105,-0.010547280311584473,0.05408191680908203
9002,0.7950109839439392,0.8008456230163574,0.802068293094635,0.8362014293670654,False,Deveron at Muiresk,0.005834639072418213,0.007057309150695801,0.04119044542312622
9003,0.7898980975151062,0.7838924527168274,0.7822765111923218,0.8484785556793213,False,Isla at Grange,-0.006005644798278809,-0.007621586322784424,0.05858045816421509
9005,0.6748462915420532,0.6716941595077515,0.6149874925613403,0.6997948884963989,False,Allt Deveron at Cabrach,-0.003152132034301758,-0.05985879898071289,0.024948596954345703
10002,0.7577994465827942,0.7900018692016602,0.7660636305809021,0.8512377738952637,False,Ugie at Inverugie,0.03220242261886597,0.00826418399810791,0.09343832731246948
11001,0.8499066829681396,0.8456324338912964,0.8465795516967773,0.8507135510444641,False,Don at Parkhill,-0.004274249076843262,-0.0033271312713623047,0.0008068680763244629
11003,0.7634883522987366,0.7465795278549194,0.7577654123306274,0.750594973564148,False,Don at Bridge of Alford,-0.01690882444381714,-0.005722939968109131,-0.012893378734588623
12001,0.7086609601974487,0.7159873247146606,0.7092616558074951,0.7545986175537109,False,Dee at Woodend,0.007326364517211914,0.0006006956100463867,0.04593765735626221
12002,0.7700648903846741,0.7610490918159485,0.7572059035301208,0.8197423815727234,False,Dee at Park,-0.009015798568725586,-0.012858986854553223,0.049677491188049316
14001,0.904593288898468,0.90398108959198,0.9059531092643738,0.9183019399642944,False,Eden at Kemback,-0.0006121993064880371,0.0013598203659057617,0.013708651065826416
14002,0.8538455963134766,0.852400004863739,0.8646343946456909,0.8608973026275635,False,Dighty Water at Balmossie Mill,-0.0014455914497375488,0.010788798332214355,0.007051706314086914
15006,0.8819364309310913,0.8807317614555359,0.8834463357925415,0.899157702922821,False,Tay at Ballathie,-0.00120466947555542,0.0015099048614501953,0.017221271991729736
15007,0.8923454284667969,0.8858951330184937,0.891528308391571,0.8988016843795776,False,Tay at Pitnacree,-0.006450295448303223,-0.0008171200752258301,0.006456255912780762
