source,threshold,n_events,best_CSI,best_cut,hit_at_FAR30,brier,clim_brier,mean_p
point_direct,q90,54267,0.4306892707715026,0.95,0.0,0.07136842105263158,0.08878827708406759,0.08086206896551724
ladder_ens,q90,54267,0.4456510859773796,0.25,0.47983120496802845,0.05199112543475704,0.08878827708406759,0.08896002022429562
ladder_memmax,q90,54267,0.4212532046100192,0.6,0.0,0.07621036666646676,0.08878827708406759,0.17601604330898504
ladder_composite,q90,54267,0.44565666170380475,0.25,0.47983120496802845,0.052579678168638164,0.08878827708406759,0.11426505665691095
ladder_ens_recal,q90,54267,0.44661413444964293,0.3,0.4871284574419076,0.051152299584090025,0.08878827708406759,0.09993182108549493
point_direct,q95,27230,0.2964748869388122,0.95,0.0,0.04263157894736842,0.046976976689800096,0.02914337568058076
ladder_ens,q95,27230,0.338899758838786,0.2,0.2593463092177745,0.032683007329769184,0.046976976689800096,0.03938827430742201
ladder_memmax,q95,27230,0.31060009123709204,0.5499999999999999,0.0,0.04775817185828001,0.046976976689800096,0.09914592946711698
ladder_composite,q95,27230,0.3331564584596725,0.25,0.25938303341902313,0.032997985569737515,0.046976976689800096,0.061101330194010386
ladder_ens_recal,q95,27230,0.33953863021054753,0.25,0.25031215571061327,0.032198503593209145,0.046976976689800096,0.05105367319592078
point_direct,q99,6051,0.12564594714306807,0.95,0.0,0.010747731397459164,0.01086125012434083,0.00285480943738657
ladder_ens,q99,6051,0.19794932632827728,0.1,0.027764005949429845,0.009268993645877846,0.01086125012434083,0.00696397048416053
ladder_memmax,q99,6051,0.15960141867927716,0.44999999999999996,0.0,0.013076909661305513,0.01086125012434083,0.026247458673330896
ladder_composite,q99,6051,0.18621959026888604,0.2,0.027764005949429845,0.009660242160297006,0.01086125012434083,0.01752240677817787
ladder_ens_recal,q99,6051,0.19801702366476476,0.2,0.025780862667327716,0.009228999724132454,0.01086125012434083,0.012319161581380526
