q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.08018911484752739,0.06947296372347708,0.03490759753593429,0.1349532283823865,0.003920714441298192,0.0018181818181818182,0.47866520285606384
q25,0.25,0.22035199855761725,0.2099849324230136,0.14772986538900296,0.30458590006844627,0.10095839686342845,0.09474747474747475,0.7004944682121277
q50,0.5,0.5883327506634741,0.5884097650011408,0.49304129591603923,0.6856416180619239,0.28708342409061205,0.2634343434343434,0.8383759260177612
q75,0.75,0.8426824361316878,0.8478211270819074,0.7746976956422542,0.9004679506882514,0.5371923328250926,0.47333333333333333,0.9813529253005981
q95,0.95,0.968161489699936,0.973077800593201,0.9454989347446761,0.987109285877253,0.8014049226747986,0.7347474747474747,1.2190141677856445
q99,0.99,0.9914221102323424,0.9933835272644308,0.9832306639288159,0.9981747661419119,0.9106403833587454,0.8715151515151515,1.4942256212234497
