,gain,mean_donor_km
6007,0.03916889429092407,21.263744978210113
7001,0.20737802982330322,18.853132034542515
7002,0.1038055419921875,19.022452109192233
7003,0.05606889724731445,19.471876195049024
8004,0.2003888487815857,15.965461938635377
8005,0.0675438642501831,17.466622223732244
8006,0.05262041091918945,18.43779115219819
8009,0.20531433820724487,15.562710571838045
9002,0.09752380847930908,22.494189901904623
9003,0.05027347803115845,17.393247251896174
9005,0.2177254557609558,18.095594199053366
10002,0.051761507987976074,34.60763332379356
11001,0.0640096664428712,18.634835134776353
11003,0.10435986518859863,20.36933902801936
12001,0.11381632089614868,11.538004402244274
12002,0.11872237920761108,15.693601231506905
14001,0.03166574239730835,14.378848255736793
14002,0.045566439628601074,17.078677550121938
15006,0.026404857635498047,9.687192941875233
15007,0.05466479063034069,11.213879232820211
15010,0.06687778234481812,8.641192446437293
15011,0.14000952243804932,11.684784345291282
15012,0.04721194505691528,11.170725987281275
15013,0.10012000799179077,12.527601718031084
16001,0.07880747318267833,14.90985986885938
16003,0.09227210283279419,17.40668655572574
16004,0.05546283721923817,11.645624799454708
17001,0.06567502021789551,7.686855936557447
17003,0.0736042857170105,7.9000813135582675
17005,0.04795640707015991,13.0381574774038
18001,0.08366090059280396,9.791872117496723
18002,0.0467182993888855,8.867784383021721
18003,0.033444225788116455,7.191253623209814
19001,0.054942309856414795,6.742375176905483
19006,0.03581547737121582,6.120918637599094
19010,0.03207111358642578,9.374629302044786
20002,0.01057058572769165,15.430432237743686
20003,0.09910833835601807,12.427413259142284
20007,0.049999892711639404,13.241502094603007
21003,0.0463443398475647,16.343405570207043
21006,0.03966462612152111,7.072123899191695
21008,0.039685726165771484,14.52787993507765
21009,-0.014817535877227783,8.827651707299244
21011,0.07969629764556885,11.048715603643345
21012,0.05212903022766102,15.524473761561064
21013,0.08332765102386475,7.860203582275386
21015,0.057011425495147705,11.344573759489142
21016,0.06038236618041992,14.212038997618976
21017,0.08556681871414185,15.91558480496379
21018,0.006883859634399414,19.31214518164454
21022,0.08959382772445679,7.96036689087084
21023,0.14990967512130737,13.103300421582967
21024,0.08796727657318115,14.079423462198244
22001,0.08609747886657704,20.347456647341627
22006,0.06085813045501709,14.870253539845118
22007,0.09524351358413707,15.891552398004931
22009,0.09529602527618408,21.056484557095118
23001,0.026147842407226562,18.07421867177941
23004,0.08627325296401966,18.60397146944352
23006,0.07982760667800892,18.159141957109455
23007,0.03823435306549072,15.884929032551744
23008,0.03805196285247803,20.678342755624076
23011,0.07888728380203247,22.40700682033045
24001,-0.021709084510803223,8.665878110684439
24003,0.08568310737609863,17.996123742896135
24004,0.054231107234954834,15.445477707567706
24005,0.048897743225097656,9.397017433456286
25001,0.028607606887817383,16.350621296977828
25006,0.10413622856140148,23.49632421932877
25012,0.07258528470993053,15.928104420689015
25020,0.02505314350128174,10.051677160546786
26003,0.20571815967559814,8.416134161160004
27001,0.029337286949157715,11.654173960748984
27003,0.036230266094207764,12.236578032434485
27006,0.04762178659439087,12.445845640820664
27007,0.026672959327697754,13.958571210771886
27009,0.04212921857833862,13.15891854200648
27021,0.04327261447906494,10.023988349065874
27023,0.10806971788406372,16.6251395192886
27025,0.0755576491355896,11.847274198887817
27026,0.08861541748046864,14.345036719282888
27029,0.04053473472595204,15.905368759742784
27030,0.09641975164413463,12.45347999160383
27032,-0.18911969661712652,17.997956376396917
27034,0.06348896026611317,26.372744091730215
27035,0.024940371513366588,8.693418758472374
27038,-0.1031080484390259,8.28935988311238
27042,0.016753554344177246,9.598949594160294
27047,0.04748159646987915,23.318191831264034
27051,0.009014904499053955,16.88867484187525
27071,0.03670144081115723,15.960315555662078
28001,0.10954272747039795,17.78268712052638
28008,0.07688283920288086,13.257706248637916
28009,0.014245212078094482,14.772928880159244
28012,0.03661376237869263,18.928314344252524
28018,0.045230329036712646,15.336186493533695
28022,0.028751492500305176,14.6599067218787
28024,0.04874861240386963,9.252954256677375
28026,-0.061250925064086914,14.706939682944716
