q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.0191643414841151,0.01163586584531143,0.003650467716176135,0.03661875427789185,0.000326726203441516,0.0,0.4057479202747345
q25,0.25,0.08887804170157189,0.08202144649783252,0.045659129033723156,0.13145540834413863,0.02183620126334132,0.009494949494949495,0.6069579124450684
q50,0.5,0.2807600213718907,0.2737850787132101,0.19049025069667297,0.3720054757015743,0.12981921150076237,0.06545454545454546,0.7288591861724854
q75,0.75,0.6153252067378623,0.6253707506274242,0.4836869723933379,0.731006160164271,0.388586364626443,0.26,0.8710034489631653
q95,0.95,0.9596165812450665,0.9634953228382387,0.9348619666894822,0.9799224275610312,0.7796776301459377,0.683030303030303,1.1020638942718506
q99,0.99,0.9927710459253787,0.9942961441934748,0.9866529774127311,0.9981747661419119,0.9281202352428665,0.8767676767676768,1.3075909614562988
