rain,n_rows,n_stations,point_NSE_z,point_MAE_m,q90_bestCSI,q90_hit@FAR30,q90_brier,q95_bestCSI,q95_hit@FAR30,q95_brier,q99_bestCSI,q99_hit@FAR30,q99_brier
HadUK,840664,217,0.8585322,0.04333466365416523,0.6644888991674376,0.8336192690579923,0.03099656224933992,0.5751148196192546,0.7339213524439544,0.0211522397235491,0.44519310919699917,0.5266340595820365,0.007310524226863393
EA gauges,840664,217,0.8564372,0.043678012457054306,0.6612099437909255,0.8289690512201179,0.03141018571519049,0.5702363173152948,0.7266359686101563,0.021415524562158943,0.43972823422287594,0.5164962205424634,0.0073660073647581455
