lead,variant,median_NSE,dNSE_vs_obs_full,better_frac,peak_day_bias_pct
1,obs_full,0.8218993544578552,0.0,0.0,-28.833126
1,obs_2000,0.8138710558414459,-0.003463923931121826,0.35096153846153844,-28.157722
1,fc_2000,0.8184194564819336,-0.0026628077030181885,0.4326923076923077,-30.788862
1,fcs_2000,0.8149091899394989,-0.004124194383621216,0.41586538461538464,-30.610558
1,mixed,0.8232313990592957,0.0026232004165649414,0.6177884615384616,-29.70579
1,mixeds,0.8186227083206177,0.0029730498790740967,0.5961538461538461,-28.525433
2,obs_full,0.6003480553627014,0.0,0.0,-57.450485
2,obs_2000,0.5899384617805481,-0.00619882345199585,0.28365384615384615,-57.517326
2,fc_2000,0.62791907787323,0.014217913150787354,0.5961538461538461,-50.76052
2,fcs_2000,0.6288059949874878,0.015466034412384033,0.6105769230769231,-50.86329
2,mixed,0.6339918971061707,0.0261344313621521,0.8557692307692307,-55.906178
2,mixeds,0.6449071168899536,0.028524279594421387,0.6899038461538461,-49.102173
3,obs_full,0.5315335988998413,0.0,0.0,-64.598206
3,obs_2000,0.522731751203537,-0.00675550103187561,0.2403846153846154,-64.46315
3,fc_2000,0.5506467521190643,0.0010913312435150146,0.5072115384615384,-58.086567
3,fcs_2000,0.5486990511417389,-0.006154119968414307,0.4807692307692308,-58.18835
3,mixed,0.5581211149692535,0.017519861459732056,0.7427884615384616,-62.43093
3,mixeds,0.5625500679016113,0.008178025484085083,0.5649038461538461,-56.474125
