q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.021843523459607786,0.012776637006616473,0.004220853296828656,0.04209445585215606,0.0005445436724025267,0.0,0.40568551421165466
q25,0.25,0.09562162078966058,0.08578599133013917,0.05156285649098791,0.1436230892083048,0.030657808756262252,0.02383838383838384,0.5954955816268921
q50,0.5,0.28769049456577905,0.28000096390952134,0.19929272187999086,0.3805612594113621,0.14637333914179917,0.10888888888888888,0.7120693325996399
q75,0.75,0.6037685547368861,0.6139630390143738,0.471708875199635,0.7313483915126626,0.37333914179917227,0.29353535353535354,0.8463358879089355
q95,0.95,0.9290890781283325,0.933721195528177,0.8866073465662788,0.9677161761350672,0.657536484426051,0.5717171717171717,1.0681122541427612
q99,0.99,0.9724990820201274,0.9767282683093771,0.9467847148713862,0.9942961441934748,0.7875735133957743,0.7296969696969697,1.2556796073913574
