gid,persist2_L1,persist2_L1_cov,ar_perfect2_L1,ar_perfect2_L1_cov,ar_gefs_L1,ar_gefs_L1_cov,persist2_L2,persist2_L2_cov,ar_perfect2_L2,ar_perfect2_L2_cov,ar_gefs_L2,ar_gefs_L2_cov,persist2_L3,persist2_L3_cov,ar_perfect2_L3,ar_perfect2_L3_cov,ar_gefs_L3,ar_gefs_L3_cov
6007,0.8849315643310547,0.8846167922019958,0.935579240322113,0.9348363280296326,0.9368998408317566,0.9365077018737793,0.6867746710777283,0.6850237846374512,0.8883286118507385,0.8875758647918701,0.7895001769065857,0.7927848100662231,0.5031229257583618,0.4977818727493286,0.863918125629425,0.8647045493125916,0.6324626207351685,0.6425818204879761
7001,0.11323744058609009,0.11851769685745239,0.6759302616119385,0.6815164089202881,0.5726147294044495,0.582155704498291,-0.3271481990814209,-0.31561851501464844,0.5138669610023499,0.5234073400497437,0.2564030885696411,0.26792216300964355,-0.45284390449523926,-0.4404247999191284,0.4869394302368164,0.4907304048538208,0.17845916748046875,0.18733006715774536
7002,0.19804561138153076,0.1954566240310669,0.7231303453445435,0.7237272262573242,0.6975888013839722,0.698480486869812,-0.26964664459228516,-0.2691490650177002,0.5960362553596497,0.5953068733215332,0.3106837868690491,0.31774288415908813,-0.3892250061035156,-0.38665544986724854,0.5708233714103699,0.5711081624031067,0.20113402605056763,0.20754742622375488
7003,0.3657330870628357,0.35789722204208374,0.8067898750305176,0.8046478033065796,0.8419814109802246,0.8405465483665466,-0.11697161197662354,-0.13028204441070557,0.7047282457351685,0.7033622860908508,0.4860175848007202,0.48122549057006836,-0.29146766662597656,-0.30676937103271484,0.6936746835708618,0.6917459964752197,0.2543456554412842,0.24696874618530273
8004,0.2098720669746399,0.206803560256958,0.7081382870674133,0.7094575762748718,0.6041297912597656,0.6051098108291626,-0.22774505615234375,-0.23272860050201416,0.5912497043609619,0.591177225112915,0.32271701097488403,0.3238535523414612,-0.3543729782104492,-0.358129620552063,0.5565050840377808,0.5560358762741089,0.20883822441101074,0.2093663215637207
8005,0.7513665556907654,0.7505860328674316,0.8695762753486633,0.8698482513427734,0.8797007203102112,0.8782806396484375,0.41824907064437866,0.41707563400268555,0.7702611088752747,0.7694389820098877,0.6284804344177246,0.6367571353912354,0.19706767797470093,0.19421201944351196,0.6977392435073853,0.6973763108253479,0.4347049593925476,0.44742000102996826
8006,0.6403012871742249,0.634738564491272,0.8784116506576538,0.8771741390228271,0.861047625541687,0.8586286306381226,0.27722424268722534,0.26900404691696167,0.7827627062797546,0.7805471420288086,0.5500237941741943,0.5507947206497192,0.08421331644058228,0.07474952936172485,0.7268710136413574,0.7239069938659668,0.3762660026550293,0.37881284952163696
8009,0.20142579078674316,0.20153182744979858,0.704494833946228,0.7081575989723206,0.6357659697532654,0.63736891746521,-0.19878780841827393,-0.1994619369506836,0.5739215612411499,0.5789621472358704,0.3319181799888611,0.3404117822647095,-0.2947511672973633,-0.29251396656036377,0.5510959625244141,0.5485148429870605,0.23494434356689453,0.23970675468444824
9002,0.29540735483169556,0.28733158111572266,0.8417563438415527,0.8401325941085815,0.7867095470428467,0.784442663192749,-0.08647572994232178,-0.09835958480834961,0.7706466913223267,0.7682533264160156,0.4745243191719055,0.46932440996170044,-0.15854990482330322,-0.1711198091506958,0.7635554671287537,0.7609947323799133,0.3094015121459961,0.3022751808166504
9003,0.1581401228904724,0.14966779947280884,0.8059235215187073,0.8044450879096985,0.72117018699646,0.7187257409095764,-0.25825607776641846,-0.2705669403076172,0.7395083904266357,0.7370286583900452,0.3818255066871643,0.376285195350647,-0.38862931728363037,-0.402201771736145,0.7344744801521301,0.7319762706756592,0.21805083751678467,0.21082979440689087
9005,0.13005131483078003,0.12383133172988892,0.7293013334274292,0.728352963924408,0.6086100339889526,0.60741126537323,-0.32090115547180176,-0.32931065559387207,0.6322939395904541,0.6308093070983887,0.3545905351638794,0.35264265537261963,-0.4336724281311035,-0.4415407180786133,0.5906597971916199,0.5889073610305786,0.22526121139526367,0.22222596406936646
10002,0.42328977584838867,0.41590964794158936,0.8262549042701721,0.8238970041275024,0.8142279386520386,0.8117318153381348,0.01625216007232666,0.0036377906799316406,0.7565725445747375,0.7532776594161987,0.5432685017585754,0.5383939743041992,-0.12463998794555664,-0.13947129249572754,0.7633660435676575,0.7601048946380615,0.4518308639526367,0.4459945559501648
11001,0.6987748146057129,0.693862795829773,0.914717435836792,0.9135908484458923,0.9114601612091064,0.9103051424026489,0.43137210607528687,0.42188429832458496,0.8585861325263977,0.8568501472473145,0.6803796887397766,0.6755978465080261,0.3207794427871704,0.3093107342720032,0.8392190933227539,0.83686363697052,0.54954993724823,0.5424826145172119
11003,0.46360552310943604,0.4571532607078552,0.8281583786010742,0.8269845843315125,0.7962105870246887,0.7939764261245728,0.15386039018630981,0.1443086862564087,0.7551530599594116,0.7527459859848022,0.550507664680481,0.5462285280227661,0.0979074239730835,0.08813655376434326,0.7167164087295532,0.713863730430603,0.4207146167755127,0.41518568992614746
12001,0.35828834772109985,0.35593122243881226,0.7847357392311096,0.7853935956954956,0.7445642352104187,0.7448189854621887,0.0304451584815979,0.02789902687072754,0.6745743155479431,0.674652099609375,0.42863792181015015,0.42957526445388794,-0.07224428653717041,-0.07330858707427979,0.6159598231315613,0.6160827875137329,0.3365156054496765,0.337258517742157
12002,0.44976806640625,0.44765621423721313,0.8293834924697876,0.8295377492904663,0.7803101539611816,0.7803369164466858,0.13583779335021973,0.13317936658859253,0.747296929359436,0.7477598786354065,0.4745798110961914,0.4742063879966736,0.02190577983856201,0.01963096857070923,0.7020198106765747,0.7019319534301758,0.3845987319946289,0.3843836188316345
14001,0.717268705368042,0.7157868146896362,0.926408052444458,0.9262993335723877,0.8390868902206421,0.8373216390609741,0.4399162530899048,0.4299759864807129,0.9105218052864075,0.9084793329238892,0.6613667011260986,0.667805552482605,0.2590895891189575,0.24405813217163086,0.9002824425697327,0.9016104340553284,0.5657945871353149,0.5763189792633057
14002,0.7445938587188721,0.7428330183029175,0.8939317464828491,0.8934452533721924,0.8188236951828003,0.8186708688735962,0.4789746403694153,0.4727613925933838,0.8432861566543579,0.8411566019058228,0.6866868734359741,0.6879079341888428,0.2875134348869324,0.27913379669189453,0.8209748864173889,0.8187652826309204,0.585918128490448,0.5882456302642822
15006,0.7908034324645996,0.7871638536453247,0.9322533011436462,0.9313672780990601,0.9239209294319153,0.9246575236320496,0.6188927888870239,0.6132718920707703,0.8927813172340393,0.8918630480766296,0.7400680184364319,0.7444450855255127,0.5116379261016846,0.506310224533081,0.8703384399414062,0.8687313199043274,0.6501952409744263,0.658859372138977
15007,0.8231968283653259,0.824169397354126,0.9270511269569397,0.929050624370575,0.914473295211792,0.917061448097229,0.676985502243042,0.6776559352874756,0.8920996189117432,0.8933576941490173,0.7563314437866211,0.7639535665512085,0.5740231275558472,0.5758914947509766,0.8717538714408875,0.8719204068183899,0.6645974516868591,0.6758193373680115
15010,0.47009944915771484,0.47926652431488037,0.8279268741607666,0.8318220376968384,0.758485734462738,0.7653569579124451,0.20243674516677856,0.2132677435874939,0.7951486110687256,0.7995002865791321,0.5264170169830322,0.5367289781570435,0.06713074445724487,0.07804155349731445,0.7714827060699463,0.7758039832115173,0.4505050778388977,0.46143805980682373
15011,0.15289396047592163,0.1695156693458557,0.704049289226532,0.7057931423187256,0.6132266521453857,0.6301151514053345,-0.17436552047729492,-0.16000092029571533,0.6435520648956299,0.6439061164855957,0.38535791635513306,0.4092017412185669,-0.24453496932983398,-0.22661399841308594,0.6233073472976685,0.624122142791748,0.3046858310699463,0.32733577489852905
15012,0.7967327833175659,0.7912117838859558,0.8905195593833923,0.8883131742477417,0.876985490322113,0.87662273645401,0.6302158832550049,0.6192152500152588,0.8374362587928772,0.8345316648483276,0.7282974123954773,0.7277954816818237,0.5046171545982361,0.4919703006744385,0.8036586046218872,0.7998039722442627,0.6505263447761536,0.652346134185791
15013,0.28907132148742676,0.31123262643814087,0.7888656258583069,0.7966378927230835,0.6657098531723022,0.6863833069801331,0.009705781936645508,0.027284622192382812,0.7475802302360535,0.7521603107452393,0.4316575527191162,0.4494425058364868,-0.07840168476104736,-0.0540386438369751,0.7238330841064453,0.7268399000167847,0.3602103590965271,0.3756493926048279
16001,0.6190728545188904,0.6193853616714478,0.8993077278137207,0.9008394479751587,0.8392267227172852,0.8485365509986877,0.41776132583618164,0.4187873601913452,0.8720823526382446,0.8721410036087036,0.6112411618232727,0.6236568689346313,0.32192277908325195,0.32211780548095703,0.86238032579422,0.8620195388793945,0.5274525880813599,0.5437876582145691
16003,0.023075759410858154,0.033596813678741455,0.7673903703689575,0.7679535150527954,0.4948831796646118,0.5199706554412842,-0.2667158842086792,-0.2578486204147339,0.7299008369445801,0.7262238264083862,0.2719053626060486,0.2974882125854492,-0.3897901773452759,-0.3779110908508301,0.7136521935462952,0.7101567983627319,0.21316540241241455,0.2363215684890747
16004,0.6816526651382446,0.6783857345581055,0.9200721979141235,0.9199458956718445,0.8893735408782959,0.8953638076782227,0.4612000584602356,0.45956093072891235,0.8956311345100403,0.8946581482887268,0.6281532049179077,0.6395524740219116,0.34833425283432007,0.3452109694480896,0.8903301954269409,0.8880482912063599,0.5150720477104187,0.5310113430023193
17001,0.416748583316803,0.45274806022644043,0.8259890079498291,0.8395772576332092,0.6798865795135498,0.7371444702148438,0.06482124328613281,0.1036331057548523,0.8087278008460999,0.8184105157852173,0.4514426589012146,0.5216547250747681,-0.1203148365020752,-0.08054471015930176,0.7998248934745789,0.8098727464675903,0.3673074245452881,0.43435829877853394
