q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.09094597001339041,0.08305759056426572,0.03718913985854438,0.14576068086831168,0.0002722718362012633,0.0,0.1909870207309723
q25,0.25,0.2437461934068157,0.24127310061601642,0.16404289299566505,0.323979009810632,0.014539316053147462,0.009292929292929294,0.29192572832107544
q50,0.5,0.5074240935086181,0.5090120921743099,0.41485095980220577,0.6039794850650497,0.062241341755608796,0.028282828282828285,0.361389696598053
q75,0.75,0.7238293283025837,0.7314233311622722,0.6305042208532968,0.7976271959844855,0.15475931169679807,0.06848484848484848,0.44894105195999146
q95,0.95,0.9056536566381488,0.9112101212235618,0.8605977640885238,0.946155601186402,0.3513395774341102,0.19777777777777777,0.6441837549209595
q99,0.99,0.9727530381285964,0.974218571754506,0.9564225416381474,0.9885705233302073,0.5994336745807014,0.42808080808080806,0.918837308883667
