model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage
lstm_ft_perfect_q_L2 q50,416,0.8825763463973999,0.8494186861681866,0.0,-0.33694517612457275,-22.933825492858887,-18.413223,-11.831233024597168,152.07448,244.38,0.459730778005932
lstm_ft_perfect_q_L2 q95 as point,416,0.6490041017532349,0.5244973641457777,2.403846153846154,-0.5009214282035828,17.30905818939209,23.537415,30.469161987304688,243.3249,244.38,0.9656627880447182
lstm_ft_perfect_q_L2 q99 as point,416,0.1759585738182068,0.1278386549482865,36.29807692307692,-3.044226884841919,40.32612991333008,49.182617,57.802677154541016,298.0615,244.38,0.9942961441934748
