model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage
lstm_fc_memmax_q_L1 q50,416,0.8409636318683624,0.8901845600855613,0.0,-0.4658507704734802,-15.85950231552124,-2.4966657,-1.4561623334884644,142.44194,244.38,0.36778462240474563
lstm_fc_memmax_q_L1 q95 as point,416,0.3642518222332001,0.3638966190747203,20.673076923076923,-2.376946449279785,26.274115562438965,51.009514,46.8787899017334,235.33621,244.38,0.9580196212639744
lstm_fc_memmax_q_L1 q99 as point,416,-0.3598942160606384,-0.06389187722370093,67.3076923076923,-6.398566007614136,50.96833801269531,83.04289,78.01921463012695,284.90097,244.38,0.9879078256901666
