q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.04770746894809401,0.040383299110198494,0.014259639516313028,0.08544375998174766,0.0009257242430842954,0.00040404040404040404,0.42965179681777954
q25,0.25,0.14864018047374358,0.14293862651152178,0.09080538443988137,0.2078485055897787,0.03512306686996297,0.03313131313131313,0.6237844228744507
q50,0.5,0.4962137452919176,0.49646189003716273,0.4065708418891171,0.5944558521560575,0.13635373556959268,0.1292929292929293,0.7396143078804016
q75,0.75,0.7943620644542803,0.7989033243831494,0.7307780059320101,0.847895067301943,0.34692877368764974,0.3016161616161616,0.8605660200119019
q95,0.95,0.949781553771633,0.9533424595026239,0.9204882500570386,0.9772883377132797,0.6597146591156611,0.5884848484848485,1.0673868656158447
q99,0.99,0.9844421650692717,0.986881131644992,0.969655487109286,0.9964390568153672,0.8263994772380745,0.7731313131313131,1.2806693315505981
