model,n_events,dailyagg_q99_covers_event,hourly_q99_covers_peak,median_q99_over_obs_event,all_amax_hourly_q99_coverage,dailyagg_q50_median_NSE,dailyagg_q50_AMAX_bias_pct,dailyagg_q50_top1_NSE
hourly quantile + donors (A2),145,0.7655172413793103,0.6896551724137931,1.215084433555603,0.9421593830334191,0.8798935115337372,-17.98493,-0.31485050916671753
"hourly quantile, rain only (H3)",145,0.7517241379310344,0.7034482758620689,1.3395506143569946,0.9665809768637532,0.7721716463565826,-12.558946,-0.608228325843811
