alpha,coverage,pinball,median_pred
0.05,0.06373363852041433,0.04554866999387741,0.511005163192749
0.25,0.255581537500852,0.1613515168428421,0.6468138694763184
0.5,0.500894343265106,0.2253633439540863,0.7684205770492554
0.75,0.7467293531485061,0.20166422426700592,0.9186749458312988
0.95,0.9358876260710681,0.08328887075185776,1.1987104415893555
0.99,0.9829821922898486,0.028848551213741302,1.5512800216674805
