q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.17377963645798292,0.16335843029888203,0.09331508099475246,0.2614647501711157,0.004356349379220213,0.007272727272727273,0.311879962682724
q25,0.25,0.3707786668073869,0.37691079169518593,0.2551905087839379,0.47263794120104463,0.08462208669135264,0.06383838383838383,0.5103698968887329
q50,0.5,0.6397896451870371,0.6452201688341319,0.5357061373488479,0.7426881895118298,0.22282727074711392,0.1494949494949495,0.640678882598877
q75,0.75,0.8386097936908947,0.8482774355464294,0.759565439246995,0.9012926821099871,0.41053147462426487,0.295959595959596,0.7963071465492249
q95,0.95,0.9646462314452631,0.9689710244125028,0.9402167704711151,0.9844855122062515,0.6765410585928991,0.5521212121212121,1.05147385597229
q99,0.99,0.9920416092242136,0.9934976043805612,0.9851699749030345,0.9977184576773899,0.8609780004356349,0.7733333333333333,1.3740185499191284
