model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage,peak_day_bias_pct,own_max_within_1d,dNSE_vs_persistence_median,beats_persistence_frac
persistence_L2,416,0.22726592421531677,0.6136239070600483,27.403846153846157,-5.173533916473389,-56.37767791748047,0.0,0.0,244.38,244.38,0.6725633417028076,-70.2,0.001,,
forecast_ar_gefs_ens_L2,416,0.5851988196372986,0.6530492929130354,0.0,-4.091499090194702,-51.6929931640625,-28.382385,-24.52230453491211,78.904045,244.38,0.495891349007076,-58.7,0.309,0.373,0.885
forecast_flowmean_L2,416,0.5864968597888947,0.658770860879611,0.0,-4.040576934814453,-50.975996017456055,-28.293913,-23.36332130432129,61.157104,244.38,0.5133531157270029,-58.0,0.31,0.378,0.885
forecast_flowmax_L2,416,0.4361029267311096,0.6372850156325964,12.740384615384615,-3.5892515182495117,-31.570813179016113,8.152855,5.679810047149658,78.904045,244.38,0.6220041086509929,-43.7,0.241,0.197,0.678
forecast_rainmax_L2,416,0.3631138801574707,0.5980370697150446,19.471153846153847,-3.4546847343444824,-26.457592964172363,17.180325,14.052968978881836,82.22178,244.38,0.6295366354713536,-38.9,0.224,0.107,0.594
