subset,n,raw_median_NSE,gw_median_NSE,shuffled_median_NSE,d_gw_median,d_gw_mean,gw_frac_improved,d_shuffled_median,shuffled_frac_improved
all,416,0.8196786642074585,0.8172739446163177,0.8205265402793884,-0.0005360841751098633,-0.006118778999035175,0.44711538461538464,0.00083199143409729,0.5745192307692307
chalk,23,0.7282804250717163,0.7540013194084167,0.7508072257041931,-0.0030564069747924805,-0.0019048296886941662,0.391304347826087,0.004288077354431152,0.6956521739130435
chalk_matched,14,0.7398682832717896,0.756188690662384,0.7424031496047974,-0.00022086501121520996,0.001607882125037057,0.5,0.00266420841217041,0.6428571428571429
non_chalk,393,0.8216063976287842,0.8212535977363586,0.8231049180030823,-0.0004919767379760742,-0.006365396897604751,0.45038167938931295,0.0007584095001220703,0.5674300254452926
failures,5,0.2108997106552124,0.15403562784194946,0.16088169813156128,0.04469704627990723,0.046752750873565674,0.8,0.03546422719955444,0.8
