q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.03739531181632487,0.026009582477754964,0.01106672985424683,0.07384071833518582,0.0017425397516880855,0.0008080808080808081,0.4413378834724426
q25,0.25,0.14904310217830577,0.13837554186630163,0.08758166154123004,0.22267853068674423,0.07923110433456763,0.0701010101010101,0.6658154726028442
q50,0.5,0.3721957638801855,0.36778462240474563,0.27424138717773217,0.47269308002548327,0.24842082335003268,0.21353535353535352,0.7932775020599365
q75,0.75,0.6774955310321172,0.6828656171571983,0.5528177047684235,0.7898459495542766,0.49047048573295576,0.41414141414141414,0.9395294189453125
q95,0.95,0.9529933839486547,0.9580196212639744,0.9235683321925622,0.9791238877481176,0.7639403180135047,0.6957575757575758,1.1793181896209717
q99,0.99,0.9838545480130958,0.9879078256901666,0.9680584074834588,0.9965776865160849,0.8682204312785885,0.8252525252525252,1.3967249393463135
