gid,gauges,how,coverage,best_shift,r_best,r0,bias_pct,wet_q95_ratio
22001,2,inside:2,0.9687428701802419,0,0.9584159204901259,0.9584159204901259,-9.244674682617188,0.9315333892206203
22006,3,nearest:3,0.9641797855350217,0,0.9401010594194562,0.9401010594194562,0.9028196334838867,1.019919094531979
22007,3,inside:3,0.9908738307095597,0,0.9493175001499413,0.9493175001499413,-3.697901964187622,0.9278992700255057
22009,2,inside:2,0.9687428701802419,0,0.9586335315548248,0.9586335315548248,-17.706138610839844,0.8474252781492372
23001,11,inside:11,1.0,0,0.9590719729385772,0.9590719729385772,3.585803508758545,1.0300566455036284
23004,6,inside:6,1.0,0,0.9676783576995396,0.9676783576995396,5.276751518249512,1.0781511863908928
23006,4,inside:4,0.9787816563997263,0,0.9755994192106936,0.9755994192106936,-1.9594907760620117,0.9905356756692254
23007,3,nearest:3,0.9669176363221538,0,0.9507372064881057,0.9507372064881057,-7.460987567901611,0.936262143818882
23008,3,nearest:3,0.9949806068902578,0,0.9418985082870627,0.9418985082870627,-11.765527725219727,0.8956651647669794
23011,3,nearest:3,0.9810631987223363,0,0.9570119981935045,0.9570119981935045,-21.43436050415039,0.8090905399222513
24001,7,inside:7,1.0,0,0.9614649838832153,0.9614649838832153,-7.323145866394043,0.9096549940598322
24003,4,inside:4,0.9000684462696783,0,0.9411254447925322,0.9411254447925322,-11.436528205871582,0.9041731168504892
24004,3,nearest:3,0.9838010495094685,0,0.9418935268275123,0.9418935268275123,-13.19848918914795,0.9003939321348657
25001,5,inside:5,0.9984029203741729,0,0.9388549918729298,0.9388549918729298,-11.40097427368164,0.8955618710884793
25006,3,nearest:3,0.9858544375998175,0,0.9578009715505411,0.9578009715505411,-15.617036819458008,0.8665388092343421
25012,3,nearest:3,0.9762719598448552,0,0.9384806380097691,0.9384806380097691,-20.12830352783203,0.8121393613147725
25020,3,nearest:3,0.9849418206707734,0,0.9611192503957958,0.9611192503957958,-10.44670295715332,0.9030431119506325
27001,2,inside:2,0.9794661190965093,0,0.9266374981487185,0.9266374981487185,14.813685417175293,1.185618593966702
27003,22,inside:22,1.0,0,0.9802533100153089,0.9802533100153089,14.112890243530273,1.090868903040569
27006,4,inside:4,0.999771845767739,0,0.9711533868181076,0.9711533868181076,-1.0409772396087646,1.0011041772401852
27007,3,inside:3,1.0,0,0.9399276973020102,0.9399276973020102,11.106121063232422,1.122252532699015
27009,16,inside:16,1.0,0,0.9795796779598828,0.9795796779598828,-1.181495189666748,0.9962992275975633
27021,10,inside:10,1.0,0,0.9794996112388312,0.9794996112388312,5.246901512145996,1.04334542310564
27023,3,nearest:3,0.999771845767739,0,0.9571983765544303,0.9571983765544303,17.33856201171875,1.1414077770754354
27025,2,inside:2,0.9237964864248231,0,0.9635760621902753,0.9635760621902753,9.784674644470215,1.1450382179539025
27026,2,inside:2,0.9237964864248231,0,0.9727785879282598,0.9727785879282598,3.013169765472412,1.0518934176316348
27029,6,inside:6,0.999543691535478,0,0.9815881443348103,0.9815881443348103,6.541681289672852,1.071099947435739
27030,3,inside:3,0.9940679899612138,0,0.9757962045925037,0.9757962045925037,-0.3844738006591797,1.0251159805776937
27034,2,inside:2,0.999543691535478,0,0.9418345383401306,0.9418345383401306,7.777893543243408,1.0545595598419168
27035,4,inside:4,1.0,0,0.9554730130904291,0.9554730130904291,-3.1484246253967285,0.9655748561982156
27042,3,nearest:3,0.9885922883869496,0,0.9389225167797262,0.9389225167797262,-12.571573257446289,0.8949564146601763
27047,3,nearest:3,1.0,0,0.9592025628350714,0.9592025628350714,-1.8546700477600098,0.9684933330578617
27071,9,inside:9,1.0,0,0.9742832203942945,0.9742832203942945,-9.13076400756836,0.9143266430382426
28001,3,nearest:3,1.0,0,0.9684654024738368,0.9684654024738368,-17.452484130859375,0.8153541657020784
28008,3,inside:3,0.9860825918320785,0,0.9614556118019404,0.9614556118019404,-0.5162596702575684,0.9764825478353834
28009,49,inside:49,1.0,0,0.9946461176737496,0.9946461176737496,-3.0944347381591797,0.9747071910999282
28012,8,inside:8,1.0,0,0.9894984504113254,0.9894984504113254,1.1108994483947754,0.9995057257762551
28018,7,inside:7,1.0,0,0.9860727202730116,0.9860727202730116,0.39168596267700195,1.022352574584843
28022,53,inside:53,1.0,0,0.995387299486893,0.995387299486893,-2.5432169437408447,0.9837242956044646
28024,4,inside:4,1.0,0,0.9932215357100559,0.9932215357100559,-0.7086694240570068,0.9948580152570214
28026,2,inside:2,0.997946611909651,0,0.9747901261897098,0.9747901261897098,-4.698544502258301,0.9744478165282655
28031,3,nearest:3,1.0,0,0.9757219266870338,0.9757219266870338,-3.4016966819763184,0.9471317094989461
28039,3,nearest:3,0.9924709103353867,0,0.9831606206668055,0.9831606206668055,0.7341742515563965,0.9892574691906704
28040,3,nearest:3,0.9755874971480721,0,0.9776055032931652,0.9776055032931652,4.973697662353516,1.0435064851359714
28043,3,nearest:3,1.0,0,0.9405250861985609,0.9405250861985609,-15.852397918701172,0.8795536486130816
28046,3,nearest:3,1.0,0,0.9721349506410509,0.9721349506410509,-7.212638854980469,0.9375000524927273
28048,3,nearest:3,0.9954369153547798,0,0.9663425105100218,0.9663425105100218,-4.9865007400512695,0.9637613966350153
28050,3,nearest:3,0.999543691535478,0,0.9756793379304018,0.9756793379304018,-1.958775520324707,1.044365851494146
28052,3,nearest:3,1.0,0,0.9718041939785691,0.9718041939785691,-3.494751453399658,0.989372330375518
28067,7,inside:7,1.0,0,0.9694816800766319,0.9694816800766319,-17.735355377197266,0.8360111512197281
28080,4,inside:4,1.0,0,0.983714005916386,0.983714005916386,3.4540653228759766,1.0351220599003734
28082,3,nearest:3,1.0,0,0.9889337580283644,0.9889337580283644,0.3131985664367676,1.0147806059328723
28085,5,inside:5,1.0,0,0.9710320678236443,0.9710320678236443,-14.593893051147461,0.8943547171637083
29003,3,nearest:3,0.999543691535478,0,0.9650728105414664,0.9650728105414664,-0.5862832069396973,0.9969613024609892
30012,3,nearest:3,0.999771845767739,0,0.9648541870878727,0.9648541870878727,-8.532047271728516,0.8936908156765181
30014,3,nearest:3,0.9806068902578143,0,0.9585799037454016,0.9585799037454016,-1.8904805183410645,1.003824053970856
32004,2,inside:2,1.0,0,0.972232585819938,0.972232585819938,-1.5795767307281494,1.0327209719114039
33007,3,nearest:3,0.9849418206707734,0,0.9532839176303072,0.9532839176303072,-5.044519901275635,0.9464506566232185
33012,3,nearest:3,0.9796942733287702,0,0.9547616520574019,0.9547616520574019,-2.4283528327941895,0.9847483917497141
33014,3,nearest:3,0.9954369153547798,0,0.9707734953137612,0.9707734953137612,-3.5677433013916016,0.9599853831582527
33018,3,nearest:3,0.9922427561031257,0,0.9245980190616676,0.9245980190616676,-0.013262033462524414,1.0208526685130295
33019,3,nearest:3,0.9657768651608487,0,0.9344195298123638,0.9344195298123638,-1.8330633640289307,0.9826242604153166
