gid,nse_raw,nse_now,nse_shuf,top1_raw,top1_now,amax_raw,amax_now,amax_shuf,frac_high_perc,gauge_name
6007,0.8587746024131775,0.8979434967041016,0.8587871789932251,-0.9561454057693481,-0.33275437355041504,0.4207343,-5.6707706,0.6591141,0.0,Ness at Ness-side
7001,0.6715590953826904,0.8789371252059937,0.6688776016235352,-3.2402777671813965,-0.11167323589324951,-36.264847,-17.035845,-37.977154,0.0,Findhorn at Shenachie
7002,0.6846078634262085,0.788413405418396,0.6886701583862305,-1.3907017707824707,-0.3810979127883911,-31.757961,-19.329742,-33.32278,0.0,Findhorn at Forres
7003,0.7578054666519165,0.813874363899231,0.7600177526473999,0.3329969048500061,0.6562856435775757,-14.943088,-10.130865,-18.891575,0.0,Lossie at Sheriffmills
8004,0.6891534924507141,0.8895423412322998,0.6813161373138428,-3.8744168281555176,0.005178689956665039,-34.615707,-11.76753,-34.207695,0.0,Avon at Delnashaugh
8005,0.7197362184524536,0.7872800827026367,0.7060322165489197,-2.443415403366089,-1.6372230052947998,-16.650532,-6.1499505,-14.658004,0.0,Spey at Boat of Garten
8006,0.7430554628372192,0.7956758737564087,0.7423462867736816,-3.741823196411133,-3.1276779174804688,-10.331545,-1.1661977,-9.085017,0.0,Spey at Boat o Brig
8009,0.6740823984146118,0.8793967366218567,0.6765234470367432,-5.030766487121582,-0.9903808832168579,-31.657368,-22.985767,-32.275715,0.0,Dulnain at Balnaan Bridge
9002,0.7950109839439392,0.8925347924232483,0.7971360087394714,-0.7607495784759521,0.06492865085601807,-32.350983,-27.577854,-33.854515,0.0,Deveron at Muiresk
9003,0.7898980975151062,0.8401715755462646,0.7859983444213867,-0.8524951934814453,-0.26408421993255615,-27.941628,-18.250446,-30.286068,0.0,Isla at Grange
9005,0.6748462915420532,0.892571747303009,0.7751564979553223,-4.086603164672852,0.1186721920967102,-33.839317,-8.634478,-26.492384,0.0,Allt Deveron at Cabrach
10002,0.7577994465827942,0.8095609545707703,0.7593770027160645,-0.10989880561828613,0.2145717740058899,-7.9018116,-13.625779,-6.2826424,0.0,Ugie at Inverugie
11001,0.8499066829681396,0.9139163494110107,0.8491701483726501,0.27090775966644287,0.5783923864364624,-16.960026,-15.239031,-16.09968,0.0,Don at Parkhill
11003,0.7634883522987366,0.8678482174873352,0.7562689781188965,-0.3698350191116333,0.2619597315788269,-20.739666,-14.452806,-18.391768,0.0,Don at Bridge of Alford
12001,0.7086609601974487,0.8224772810935974,0.6962801218032837,-0.785081148147583,-0.07865738868713379,-37.49002,-15.9484215,-35.122646,0.0,Dee at Woodend
12002,0.7700648903846741,0.8887872695922852,0.7669092416763306,-0.8877192735671997,-0.012787818908691406,-34.528915,-14.244905,-30.328157,0.0,Dee at Park
14001,0.904593288898468,0.9362590312957764,0.9021329283714294,0.07939732074737549,0.41054683923721313,-14.7288475,-1.5089899,-13.404054,0.0,Eden at Kemback
14002,0.8538455963134766,0.8994120359420776,0.8415592908859253,0.23574882745742798,0.4662502408027649,-20.450825,-16.996319,-13.645085,0.0,Dighty Water at Balmossie Mill
15006,0.8819364309310913,0.9083412885665894,0.8792634010314941,-0.7798891067504883,0.2633223533630371,-21.703697,-7.6150355,-21.57877,0.0,Tay at Ballathie
15007,0.8923454284667969,0.9470102190971375,0.8918356895446777,-0.9080767631530762,0.4389593005180359,-11.247053,1.0358036,-12.769362,0.0,Tay at Pitnacree
15010,0.8244328498840332,0.8913106322288513,0.8169253468513489,-0.8778834342956543,-0.23942959308624268,-32.59977,-31.663826,-26.465433,0.0,Isla at Wester Cardean
15011,0.7129493951797485,0.8529589176177979,0.8078603744506836,-4.0970282554626465,-1.0882937908172607,-30.167904,-27.729336,-18.456099,0.0,Lyon at Comrie Bridge
15012,0.8337042927742004,0.8809162378311157,0.827344536781311,-2.835407257080078,-0.9871571063995361,-22.704063,-13.1062,-25.852755,0.0,Tummel at Pitlochry
15013,0.7624183297157288,0.8625383377075195,0.7659587860107422,-2.0361151695251465,-0.6792688369750977,-43.69729,-29.306063,-45.871803,0.0,Almond at Almondbank
16001,0.8808640241622925,0.9596714973449707,0.8749539852142334,-0.5573800802230835,0.7984308004379272,-16.3886,3.562498,-19.68597,0.0,Earn at Kinkell Bridge
16003,0.7989590167999268,0.891231119632721,0.7950410842895508,-1.704585075378418,-0.5744292736053467,-26.113108,-17.726166,-29.94422,0.0,Ruchill Water at Cultybraggan
16004,0.9019893407821655,0.9574521780014038,0.8998467326164246,-0.26705455780029297,0.5047070980072021,-17.774616,-9.236685,-20.851088,0.0,Earn at Forteviot Bridge
17001,0.8164653778076172,0.8821403980255127,0.8175267577171326,-0.14516305923461914,0.30940502882003784,-13.215968,0.93889534,-18.825184,0.0,Carron at Headswood
17003,0.8048651218414307,0.8784694075584412,0.8003961443901062,-0.20269775390625,-0.48114466667175293,12.2703905,24.687922,15.358883,0.0,Bonny Water at Bonnybridge
17005,0.8797832727432251,0.927739679813385,0.877127468585968,-1.7811906337738037,-1.0538582801818848,-16.437317,-13.527069,-17.56052,0.0,Avon at Polmonthill
18001,0.7996048927307129,0.8832657933235168,0.8034038543701172,-1.1951782703399658,-0.14178192615509033,-20.59137,-12.117872,-21.436676,0.0,Allan Water at Kinbuck
18002,0.7832297086715698,0.8299480080604553,0.7814315557479858,-1.9842524528503418,-1.4975123405456543,-35.430454,-32.43,-37.154026,0.0,Devon at Glenochil
18003,0.8844290971755981,0.9178733229637146,0.8838996887207031,-1.272716760635376,-0.22245609760284424,-17.582417,-7.9613357,-21.204308,0.0,Teith at Bridge of Teith
19001,0.8453986644744873,0.9003409743309021,0.8392379879951477,-1.6602697372436523,-0.4089837074279785,-25.641335,-18.280735,-28.506847,0.0,Almond at Craigiehall
19006,0.843696653842926,0.8795121312141418,0.8381286263465881,-1.180811882019043,-0.2550245523452759,-10.093912,-6.5780997,-14.909968,0.0,Water of Leith at Murrayfield
19010,0.5993131399154663,0.6313842535018921,0.5715864896774292,-0.48688042163848877,-0.6697343587875366,31.169075,49.590176,31.957222,0.0,Braid Burn at Liberton
20002,0.743852972984314,0.7544235587120056,0.7447782754898071,-3.357693672180176,-2.2367019653320312,-34.22447,-1.2214096,-24.43996,0.0,West Peffer Burn at Luffness
20003,0.7640916109085083,0.8631999492645264,0.7708839178085327,-1.7611286640167236,-0.2215735912322998,-33.926743,-17.46011,-32.282658,0.0,Tyne at Spilmersford
20007,0.8344414234161377,0.8844413161277771,0.8273268938064575,-0.5148179531097412,0.2989909052848816,-26.641277,-6.3246994,-30.335506,0.0,Gifford Water at Lennoxlove
21003,0.8774638772010803,0.923808217048645,0.8780510425567627,0.05678284168243408,0.3767927289009094,-14.601076,-17.916685,-13.428534,0.0,Tweed at Peebles
21006,0.8737713694572449,0.9134359955787659,0.8902154564857483,-0.3767819404602051,-0.05913543701171875,-17.657312,-17.009216,-10.310504,0.0,Tweed at Boleside
21008,0.8468739986419678,0.8865597248077393,0.8546043634414673,-0.3065061569213867,0.0510372519493103,-25.54058,-10.314194,-24.00185,0.0,Teviot at Ormiston Mill
21009,0.8958886861801147,0.881071150302887,0.8973068594932556,-0.5550479888916016,-0.6353691816329956,-19.044052,-15.465197,-17.421581,0.0,Tweed at Norham
21011,0.8061915636062622,0.885887861251831,0.8076631426811218,-1.3840522766113281,-0.29545867443084717,-14.759953,-8.508747,-11.863145,0.0,Yarrow Water at Philiphaugh
21012,0.8626540899276733,0.9147831201553345,0.87269526720047,-0.028011679649353027,0.4513176679611206,-27.18959,-18.43914,-26.20583,0.0,Teviot at Hawick
21013,0.8086512088775635,0.8919788599014282,0.8062379360198975,-2.77016544342041,-0.9581674337387085,-32.903336,-21.688171,-33.529675,0.0,Gala Water at Galashiels
21015,0.7460974454879761,0.8031088709831238,0.7536877393722534,-0.394942045211792,-0.0664297342300415,-16.337275,-10.76535,-15.8744755,0.0,Leader Water at Earlston
21016,0.777742862701416,0.8381252288818359,0.7758723497390747,-0.4208787679672241,0.10768836736679077,-33.197227,-14.566824,-34.437675,0.0,Eye Water at Eyemouth Mill
21017,0.8471405506134033,0.9327073693275452,0.844116747379303,-0.5856413841247559,0.2714250683784485,-10.951487,0.2333194,-14.26304,0.0,Ettrick Water at Brockhoperig
21018,0.8162961006164551,0.8231799602508545,0.8209468126296997,-0.3070892095565796,-0.16354656219482422,-11.384123,-0.5520284,-14.370227,0.0,Lyne Water at Lyne Station
21022,0.7893584370613098,0.8789522647857666,0.7798550128936768,-0.6476322412490845,0.03224682807922363,-35.74629,-28.33958,-37.453407,0.0,Whiteadder Water at Hutton Castle
21023,0.5210555791854858,0.6709652543067932,0.5192967653274536,-3.3926029205322266,-2.1245925426483154,-53.586815,-39.740726,-54.952316,0.0,Leet Water at Coldstream
21024,0.8194705247879028,0.907437801361084,0.8140527009963989,-0.34867215156555176,0.3679254651069641,-28.337904,-8.684715,-26.037588,0.0,Jed Water at Jedburgh
22001,0.8456252813339233,0.9317227602005005,0.8758564591407776,-0.03614151477813721,0.5891278386116028,-34.82556,-18.149609,-29.103296,0.0,Coquet at Morwick
22006,0.8434042930603027,0.9042624235153198,0.8409079313278198,0.2165231704711914,0.5145478248596191,-32.199245,-17.238422,-31.064312,0.0,Blyth at Hartford Bridge
22007,0.8286720514297485,0.9239155650138855,0.8289170861244202,-0.2715862989425659,0.5247365236282349,-33.532204,-17.287287,-34.114754,0.0,Wansbeck at Mitford
22009,0.8220276236534119,0.917323648929596,0.8187351226806641,-0.1640300750732422,0.5338737368583679,-39.366547,-22.109222,-41.164314,0.0,Coquet at Rothbury
23001,0.8653668761253357,0.8915147185325623,0.8754850625991821,0.5964155793190002,0.5890499353408813,-8.922807,-9.687376,-7.6138287,0.0,Tyne at Bywell
23004,0.8422224521636963,0.9284957051277161,0.8446444272994995,0.27042287588119507,0.5590776205062866,-16.364735,-4.423207,-21.94556,0.0,South Tyne at Haydon Bridge
23006,0.8353042006492615,0.9151318073272705,0.8522379398345947,-0.22859930992126465,0.28841090202331543,-14.129454,-8.98222,-7.7909055,0.0,South Tyne at Featherstone
23007,0.8062993884086609,0.8445337414741516,0.7981970906257629,0.05183333158493042,0.31261253356933594,-16.422241,-4.295403,-21.207718,0.0,Derwent at Rowlands Gill
23008,0.8074567317962646,0.8455086946487427,0.8124579787254333,-0.07683491706848145,0.14547055959701538,-23.289284,-20.833683,-21.146378,0.0,Rede at Rede Bridge
23011,0.8144111037254333,0.8932983875274658,0.8215502500534058,0.11851602792739868,0.25890690088272095,-10.856163,-6.653109,-12.633541,0.0,Kielder Burn at Kielder
24001,0.8444902896881104,0.8227812051773071,0.836289644241333,-0.2059575319290161,-0.16373074054718018,-27.109396,-22.379833,-27.50074,0.22,Wear at Sunderland Bridge
24003,0.7998621463775635,0.8855452537536621,0.7899989485740662,-0.34494543075561523,0.35233330726623535,-32.111584,-23.135519,-29.431778,0.0,Wear at Stanhope
24004,0.8351766467094421,0.889407753944397,0.8343458771705627,-0.7421821355819702,-0.3139619827270508,-10.038801,-2.4248095,-15.816334,0.0,Bedburn Beck at Bedburn
24005,0.7705209255218506,0.8194186687469482,0.7767130136489868,0.12786728143692017,0.4420679211616516,-16.492805,-6.3896627,-20.41428,0.0,Browney at Burnhall
25001,0.8398851752281189,0.8684927821159363,0.8452432155609131,0.06973111629486084,0.19659119844436646,-13.551258,-19.31202,-14.731466,0.0,Tees at Darlington Broken Scar
25006,0.7979220747947693,0.9020583033561707,0.805282711982727,-0.46924281120300293,0.19084489345550537,-27.534374,-8.025991,-23.66974,0.0,Greta at Rutherford Bridge
25012,0.8500757217407227,0.9226610064506531,0.8661768436431885,0.10540980100631714,0.5379939079284668,-4.1394353,-3.606391,4.683429,0.0,Harwood Beck at Harwood
25020,0.8018262386322021,0.8268793821334839,0.7940163016319275,-0.5053139925003052,-0.6306110620498657,3.2081308,27.01142,4.0831804,3.56,Skerne at Preston le Skerne
26003,0.6371787786483765,0.8428969383239746,0.6245708465576172,-108.53736877441406,-31.39077377319336,10.064798,-7.9503894,11.922342,69.26,Foston Beck at Foston Mill
27001,0.8568820953369141,0.8862193822860718,0.8519935011863708,-0.24225986003875732,-0.11980760097503662,-27.26403,-30.466932,-32.2394,0.78,Nidd at Hunsingore Weir
27003,0.9067401885986328,0.9429704546928406,0.9096428155899048,-7.28309440612793,-4.67426061630249,-7.474229,-8.658585,-9.750051,1.1,Aire at Beal
27006,0.8344828486442566,0.8821046352386475,0.8379279375076294,0.16775530576705933,0.49665284156799316,-31.96009,-20.494932,-31.263971,0.0,Don at Sheffield Hadfields
27007,0.8451747894287109,0.8718477487564087,0.8658366203308105,-0.22945523262023926,0.1572176218032837,-27.707176,-24.672287,-26.914602,0.05,Ure at Westwick
27009,0.8444874286651611,0.8866166472434998,0.8363395929336548,-6.2526679039001465,-3.4488587379455566,-1.4766127,6.3242793,-0.40020943,0.29,Ouse at Skelton
27021,0.8691937923431396,0.9124664068222046,0.8652737140655518,-0.48538029193878174,0.08418416976928711,-27.224026,-21.503443,-27.754566,1.57,Don at Doncaster
27023,0.8084352016448975,0.9165049195289612,0.8142027854919434,-0.4453401565551758,0.49899476766586304,-37.98304,-18.434525,-36.133068,0.0,Dearne at Barnsley Weir
27025,0.7981934547424316,0.8737511038780212,0.7814329266548157,-0.9989757537841797,-0.058504700660705566,-37.729458,-27.430376,-43.46279,1.45,Rother at Woodhouse Mill
27026,0.8141670227050781,0.9027824401855469,0.8246769905090332,-0.3270179033279419,0.4530850052833557,-38.68283,-19.691505,-35.08813,0.0,Rother at Whittington
27029,0.8871965408325195,0.9277312755584717,0.8857754468917847,0.17096704244613647,0.5702980756759644,-25.550732,-16.164377,-30.960815,0.0,Calder at Elland
27030,0.8045716881752014,0.9009914398193359,0.8221282958984375,-1.8000552654266357,-0.2307213544845581,-36.36427,-21.35627,-31.066273,0.03,Dearne at Adwick
27032,-0.06621599197387695,-0.2553356885910034,-0.20707380771636963,-9.41294002532959,-16.75843620300293,73.22182,82.461006,50.453094,0.0,Hebden Beck at Hebden
27034,0.8545443415641785,0.9180333018302917,0.856037974357605,-0.2599449157714844,0.24730032682418823,-21.850893,-16.118813,-18.683495,0.0,Ure at Kilgram Bridge
27035,0.8824671506881714,0.9074075222015381,0.8858510255813599,-0.06695270538330078,0.12324696779251099,-2.8294773,-9.861767,-4.7882943,0.0,Aire at Kildwick Bridge
27038,0.11387699842453003,0.01076894998550415,0.218572199344635,-2.5216422080993652,-2.8393337726593018,-19.760712,3.26491,-17.323812,0.0,Costa Beck at Gatehouses
27042,0.8213276863098145,0.8380812406539917,0.8186765909194946,-0.47549617290496826,-0.07363641262054443,-29.86332,-27.05338,-24.950085,0.0,Dove at Kirkby Mills
27047,0.8673909306526184,0.9148725271224976,0.8625482320785522,-0.05697143077850342,0.08061254024505615,-11.6524315,-13.754961,-14.726416,0.0,Snaizeholme Beck at Low Houses
27051,0.836574912071228,0.845589816570282,0.8328492641448975,0.0778464674949646,0.1463659405708313,-21.661713,-10.830709,-22.094372,0.0,Crimple at Burn Bridge
