alpha,pooled,amax_days,amax_days_no_donors,top1_days,amax_median_ratio
0.05,0.06390129352708755,0.005454545454545455,0.0042424242424242,0.0047375299499019825,0.3543698
0.25,0.2541748845104364,0.04525252525252525,0.0282828282828282,0.05804835547810935,0.57135653
0.5,0.5016523637706876,0.1597979797979798,0.0856565656565656,0.2073077760836419,0.74504805
0.75,0.7462087980949994,0.40040404040404043,0.2644444444444444,0.46901546504029623,0.9278928
0.95,0.9342484548254959,0.7450505050505051,0.6303030303030303,0.7833805271182749,1.2059824
0.99,0.9827144939677179,0.8955555555555555,0.8288888888888889,0.9192986277499455,1.4452022
