model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage,days_beyond_train_max,pred_over_obs_beyond
tree (hgb raw),416.0,0.8196786642074585,0.8151482572845461,2.644230769230769,-0.8108489513397217,-23.85121250152588,-17.353401,-11.461034774780272,92.626274,244.38,0.5597764088523842,455.0,0.68178463
lstm,416.0,0.8517173230648041,0.8173460781233925,0.0,-0.6299295425415039,-25.063884735107422,-19.352359771728516,-14.482554912567139,157.67822265625,244.3800048828125,0.5625142596395163,,
