driver,n_rows,n_AMAX,AMAX_q99_cov,q95_pooled,q99_pooled,w90_median,q50_pooled
ens (7c),496808,1109,0.7231740306582507,0.9284331170190496,0.9721884510716413,0.2521960437297821,0.29005974138902757
memmax (7d),496808,1109,0.8268710550045085,0.9525832917344326,0.9834483341653113,0.28598976135253906,0.3769162332329592
tigge mean,496808,1109,0.69702434625789,0.929785752242315,0.9722568879728185,0.2515832483768463,0.289659184232138
tigge q98,496808,1109,0.8403967538322813,0.9661720423181591,0.9887622582567108,0.320326030254364,0.444805639200657
tigge max,496808,1109,0.8638412984670875,0.971659071512536,0.9908717250929937,0.3495974540710449,0.49076303119112413
perfect,496808,1109,0.8593327321911632,0.9594732774029404,0.9924276581697558,0.2547401189804077,0.28165206679441557
