source,threshold,bin,n,forecast_p,observed
ladder_ens,q90,0.0,453742,0.012464466691119745,0.02160258472876657
ladder_ens,q90,0.1,24880,0.1494170771656004,0.21856913183279741
ladder_ens,q90,0.2,16440,0.24092127925580314,0.3081508515815085
ladder_ens,q90,0.3,10254,0.3495887392586164,0.35927442949093036
ladder_ens,q90,0.4,9549,0.4489877193976988,0.44381610639857577
ladder_ens,q90,0.5,8343,0.549017193774415,0.5406927963562268
ladder_ens,q90,0.6,6806,0.6483582746954576,0.6528063473405818
ladder_ens,q90,0.7,5471,0.748493249256399,0.7318588923414366
ladder_ens,q90,0.8,4154,0.8473179989451601,0.7924891670678864
ladder_ens,q90,0.9,11361,0.9860986993183374,0.8616318986004753
ladder_memmax,q90,0.0,376912,0.015381112507554917,0.008245956615867895
ladder_memmax,q90,0.1,30468,0.15048098435713905,0.07512800315084679
ladder_memmax,q90,0.2,23547,0.24234291803354135,0.11317789952010872
ladder_memmax,q90,0.3,17090,0.3505185145040674,0.14511410181392628
ladder_memmax,q90,0.4,17267,0.44994306341709567,0.1721781432790873
ladder_memmax,q90,0.5,16911,0.5493600271523189,0.25273490627402284
ladder_memmax,q90,0.6,15631,0.6494006829978693,0.34431578273942803
ladder_memmax,q90,0.7,13444,0.7484952486179227,0.4454775364474859
ladder_memmax,q90,0.8,10976,0.8482584348639068,0.5358965014577259
ladder_memmax,q90,0.9,28754,0.9849905465666848,0.6686026291994157
ladder_composite,q90,0.0,376911,0.015381071469511407,0.008245978493596632
ladder_composite,q90,0.1,73499,0.15224342758035558,0.09291282874596933
ladder_composite,q90,0.2,44653,0.23044409245336495,0.23221284124246971
ladder_composite,q90,0.3,10255,0.3495951517263852,0.35923939541686983
ladder_composite,q90,0.4,9547,0.44899148062671973,0.4439090813868231
ladder_composite,q90,0.5,8343,0.5490176888143038,0.5406927963562268
ladder_composite,q90,0.6,6804,0.648345361243523,0.652851263962375
ladder_composite,q90,0.7,5472,0.7484800134823372,0.7317251461988304
ladder_composite,q90,0.8,4153,0.8473175477693136,0.7924392005778955
ladder_composite,q90,0.9,11363,0.986093696508573,0.861656252750154
ladder_ens_recal,q90,0.0,423753,0.013236904243512313,0.013578664929805806
ladder_ens_recal,q90,0.1,42073,0.14484354692859985,0.15152235400375538
ladder_ens_recal,q90,0.2,21947,0.2527721053041657,0.2671891374675354
ladder_ens_recal,q90,0.3,15965,0.3424863025702091,0.3360476041340432
ladder_ens_recal,q90,0.4,10253,0.4302959239796778,0.43636008972983514
ladder_ens_recal,q90,0.5,6528,0.5543698102337691,0.5108762254901961
ladder_ens_recal,q90,0.6,8272,0.6520683668356175,0.6282640232108317
ladder_ens_recal,q90,0.7,4726,0.7432175733454036,0.7111722386796445
ladder_ens_recal,q90,0.8,8777,0.832582936719863,0.7932095248946109
ladder_ens_recal,q90,0.9,8706,0.9302990260947863,0.8706639099471629
ladder_ens,q95,0.0,504362,0.008972700528045037,0.017975184490504836
ladder_ens,q95,0.1,15018,0.14801009262384887,0.2176055400186443
ladder_ens,q95,0.2,9308,0.2414324607138835,0.28276751181779114
ladder_ens,q95,0.3,5610,0.3483368440731401,0.3595365418894831
ladder_ens,q95,0.4,4669,0.4476920743189986,0.4497751124437781
ladder_ens,q95,0.5,3721,0.5475423876255497,0.5522708949207202
ladder_ens,q95,0.6,2750,0.6472724357737157,0.6429090909090909
ladder_ens,q95,0.7,1943,0.7468926273418882,0.7174472465259908
ladder_ens,q95,0.8,1197,0.8450421965465437,0.7660818713450293
ladder_ens,q95,0.9,2422,0.9838169889117561,0.8311312964492156
ladder_memmax,q95,0.0,439084,0.012136611296171721,0.007253737325887529
ladder_memmax,q95,0.1,25266,0.14948464666775396,0.07219187841367847
ladder_memmax,q95,0.2,18703,0.2430466377760357,0.10618617334117521
ladder_memmax,q95,0.3,13367,0.3495292616623598,0.12710406224283682
ladder_memmax,q95,0.4,12729,0.4489980600813829,0.17314792992379605
ladder_memmax,q95,0.5,11318,0.5484711057472074,0.24394769393885846
ladder_memmax,q95,0.6,9622,0.647504483283646,0.3256079817085845
ladder_memmax,q95,0.7,7117,0.7477980201774345,0.42138541520303496
ladder_memmax,q95,0.8,5114,0.8463046367589402,0.49706687524442705
ladder_memmax,q95,0.9,8680,0.979541068038442,0.5641705069124424
ladder_composite,q95,0.0,439084,0.012136616448462745,0.007253737325887529
ladder_composite,q95,0.1,61795,0.1497519315216208,0.09214337729589772
ladder_composite,q95,0.2,27809,0.2292881072938293,0.21888597216728398
ladder_composite,q95,0.3,5610,0.34833534902078317,0.3595365418894831
ladder_composite,q95,0.4,4669,0.4476913693770497,0.4497751124437781
ladder_composite,q95,0.5,3721,0.5475439564341107,0.5522708949207202
ladder_composite,q95,0.6,2749,0.6472626337730709,0.6427791924336123
ladder_composite,q95,0.7,1941,0.746816059798943,0.7171561051004637
ladder_composite,q95,0.8,1199,0.8449497321700981,0.7664720600500416
ladder_composite,q95,0.9,2423,0.9838267442950974,0.8312009905076352
ladder_ens_recal,q95,0.0,477493,0.01097955087213214,0.011254615250904201
ladder_ens_recal,q95,0.1,28002,0.1297837304670422,0.1388829369330762
ladder_ens_recal,q95,0.2,18093,0.24009336564385536,0.23583706405792296
ladder_ens_recal,q95,0.3,9040,0.3396517436980865,0.3092920353982301
ladder_ens_recal,q95,0.4,3655,0.43999075047407926,0.41504787961696304
ladder_ens_recal,q95,0.5,5135,0.5312145272702341,0.5006815968841285
ladder_ens_recal,q95,0.6,2252,0.6421265126029945,0.5985790408525755
ladder_ens_recal,q95,0.7,3318,0.7499874385155467,0.676913803496082
ladder_ens_recal,q95,0.8,2162,0.8549702863202082,0.7719703977798335
ladder_ens_recal,q95,0.9,1850,0.9299050925870452,0.8394594594594594
ladder_ens,q99,0.0,542914,0.003015362971523865,0.00684270436938447
ladder_ens,q99,0.1,3624,0.1464760330027275,0.1926048565121413
ladder_ens,q99,0.2,1911,0.2414183574296431,0.26268969126111985
ladder_ens,q99,0.3,1031,0.3457852842383437,0.34820562560620755
ladder_ens,q99,0.4,717,0.44520805333341407,0.43375174337517436
ladder_ens,q99,0.5,385,0.5421413629421858,0.5116883116883116
ladder_ens,q99,0.6,183,0.6469705982682717,0.5519125683060109
ladder_ens,q99,0.7,79,0.7381993114863589,0.6708860759493671
ladder_ens,q99,0.9,108,0.9843621583107434,0.7777777777777778
ladder_memmax,q99,0.0,514538,0.005937476637705335,0.003795638028678154
ladder_memmax,q99,0.1,12634,0.14823655578014983,0.05184422985594428
ladder_memmax,q99,0.2,8390,0.2432597049334067,0.08045292014302742
ladder_memmax,q99,0.3,5517,0.3476939623409414,0.10567337321007794
ladder_memmax,q99,0.4,4093,0.446462417357688,0.14781333984852188
ladder_memmax,q99,0.5,2762,0.5465155445220407,0.21506154960173787
