family,model,period,n,n_amax,amax_q99,pooled_q99,w90,frozen_nse,ft_nse,dNSE,ft_better_frac
lstm_ladder_L1,frozen_ens,reforecast_2010_19,1403796,3869.0,0.7203411734298268,0.9704294641101698,0.2803463637828827,,,,
lstm_ladder_L1,frozen_memmax,reforecast_2010_19,1403796,3869.0,0.8190746963039545,0.9827752750399631,0.319687157869339,,,,
lstm_ladder_L1,ft_ens,reforecast_2010_19,1403796,3869.0,0.7733264409408116,0.9824817851026787,0.279878169298172,,,,
lstm_ladder_L1,ft_memmax,reforecast_2010_19,1403796,3869.0,0.8604290514344792,0.9904893588527108,0.3250086009502411,,,,
lstm_ladder_L1,frozen_ens,operational_2020_22,304648,820.0,0.7219512195121951,0.9747183634883537,0.2594270706176758,,,,
lstm_ladder_L1,frozen_memmax,operational_2020_22,304648,820.0,0.8329268292682926,0.985639163887503,0.2944715619087219,,,,
lstm_ladder_L1,ft_ens,operational_2020_22,304648,820.0,0.7853658536585366,0.9848218271579002,0.2529345154762268,,,,
lstm_ladder_L1,ft_memmax,operational_2020_22,304648,820.0,0.8597560975609756,0.9920301462671673,0.2914449870586395,,,,
lstm_point_L1,frozen_vs_ft,reforecast_2010_19,1403796,,,,,0.8566364049911499,0.8629536628723145,0.007392227649688721,0.8581730769230769
lstm_point_L1,frozen_vs_ft,operational_2020_22,304648,,,,,0.8707118332386017,0.8785925805568695,0.0077495276927948,0.7884615384615384
lstm_point_L2,frozen_vs_ft,reforecast_2010_19,1403381,,,,,0.6348860561847687,0.6595785617828369,0.018598467111587524,0.9278846153846154
lstm_point_L2,frozen_vs_ft,operational_2020_22,304237,,,,,0.6702963411808014,0.6883390545845032,0.01917019486427307,0.8701923076923077
lstm_point_L3,frozen_vs_ft,reforecast_2010_19,1402966,,,,,0.5716044008731842,0.5882208943367004,0.016737282276153564,0.9182692307692307
lstm_point_L3,frozen_vs_ft,operational_2020_22,303826,,,,,0.5834290981292725,0.5967493653297424,0.014855712652206421,0.8125
tree_point_L1,frozen_vs_ft,reforecast_2010_19,1403730,,,,,0.8173244595527649,0.8160043954849243,0.0035293996334075928,0.5889423076923077
tree_point_L1,frozen_vs_ft,operational_2020_22,304610,,,,,0.8314174711704254,0.8351312279701233,0.0001144707202911377,0.5024038461538461
tree_point_L2,frozen_vs_ft,reforecast_2010_19,1403277,,,,,0.595645010471344,0.6414680480957031,0.029423147439956665,0.6875
tree_point_L2,frozen_vs_ft,operational_2020_22,304171,,,,,0.6243498921394348,0.6542045176029205,0.02483677864074707,0.6490384615384616
tree_point_L3,frozen_vs_ft,reforecast_2010_19,1402828,,,,,0.5310876965522766,0.5627338290214539,0.01288577914237976,0.6153846153846154
tree_point_L3,frozen_vs_ft,operational_2020_22,303736,,,,,0.5613222122192383,0.5686071813106537,-0.00244063138961792,0.4855769230769231
