model,n_gauges,obs_days,POD,FAR,CSI
tree,218,7495,0.7599733155436958,0.218548497736315,0.6267605633802817
lstm_e16,218,7495,0.7794529686457639,0.14113496030579242,0.6909520993494973
ens_upper,218,7495,0.8228152101400934,0.21986084756483237,0.6679302501895376
