q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.07220488871005688,0.04677161761350673,0.012092174309833448,0.17191421400866985,0.000653452406883032,0.0,0.4137720465660095
q25,0.25,0.17722233582452182,0.1446783091788133,0.08726899383983572,0.30344512890714126,0.02189065563058157,0.013333333333333334,0.6156309843063354
q50,0.5,0.5643262027735085,0.5698151950718686,0.4160392425279489,0.7053370182958928,0.12600740579394468,0.08202020202020202,0.7471368312835693
q75,0.75,0.8303457760832712,0.8376127097534372,0.7596121034414426,0.9021218343600275,0.41074929209322586,0.30484848484848487,0.8930751085281372
q95,0.95,0.9710523017658195,0.9739248665557994,0.9520876112251883,0.987793748574036,0.8156719668917447,0.7274747474747475,1.1392154693603516
q99,0.99,0.9938055597698344,0.9954363946924516,0.9879078256901666,0.9986309184077355,0.938793291221956,0.9062626262626262,1.3525021076202393
