model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage
lstm_ft_memmax_q_L2 q50,416,0.5231504738330841,0.6875983664024528,4.326923076923077,-1.5679913759231567,-25.256773948669434,2.0374775,3.628450632095337,146.27316,244.38,0.6452201688341319
lstm_ft_memmax_q_L2 q95 as point,416,-0.8586168885231018,-0.21005037476674682,79.8076923076923,-2.540236234664917,20.265894889831543,63.17695,67.08045196533203,238.45114,244.38,0.9689710244125028
lstm_ft_memmax_q_L2 q99 as point,416,-3.9991371631622314,-1.2066072764094877,93.75,-8.210852146148682,57.16429901123047,110.5427,120.94697570800781,308.10938,244.38,0.9934976043805612
