model,lead,median_NSE_model,median_NSE_persistence,paired_delta_median,frac_model_better,top1_NSE_model,top1_NSE_persistence,obs_peak_day_bias_pct,model_amax_within_1d,model_amax_median_lag_days
F1 lead1 ar+donors,1,0.8106682598590851,0.5379087030887604,0.25336015224456787,0.9399038461538461,-1.505800485610962,-3.251842498779297,-34.298843,0.5217215599110931,0.0
F2 lead1 ar+donors q50,1,0.8059694468975067,0.5379087030887604,0.24846065044403076,0.9567307692307693,-1.5443581342697144,-3.251842498779297,-35.18661,0.5510204081632653,0.0
F3 lead3 ar+donors,3,0.3882346749305725,0.07740515470504761,0.31447190046310425,0.9471153846153846,-6.402518033981323,-6.057543039321899,-76.065025,0.04932282191227006,2.0
