alpha,pooled,amax_days,top1_days,amax_median_ratio,median,q10,q90,frac_within_2pp
0.05,0.06373363852041433,0.004242424242424243,0.003103898932694402,0.2592935,0.046999771845767736,0.01266255989048597,0.12491444216290212,0.4230769230769231
0.25,0.255581537500852,0.028282828282828285,0.030331082552820736,0.4286732,0.23672519947428122,0.12890714122746977,0.39892767510837324,0.13942307692307693
0.5,0.500894343265106,0.08565656565656565,0.1111413635373557,0.5978986,0.49508978194974085,0.34736481861738533,0.6722564453570614,0.1346153846153846
0.75,0.7467293531485061,0.2644444444444444,0.3231866695708996,0.8155759,0.7529089664613279,0.6279945242984257,0.8726899383983573,0.18990384615384615
0.95,0.9358876260710681,0.6303030303030303,0.6882487475495535,1.099571,0.9463837554186629,0.8923560609699882,0.9785535021674652,0.5096153846153846
0.99,0.9829821922898486,0.8288888888888889,0.8637551731648878,1.3456033,0.9883641341546886,0.971115314446167,0.9968058407483459,0.9014423076923077
