gid,direct_L1,flowmap_L1,persist_L1,direct_L2,flowmap_L2,persist_L2,direct_L3,flowmap_L3,persist_L3
69015,0.7431005,0.7434621,0.53633624,0.57967997,0.5917072,0.21987647,0.51146615,0.53140366,0.080112636
69027,0.71545583,0.70034134,0.38061547,0.5431716,0.5275177,-0.025364757,0.46107495,0.458219,-0.19464183
71001,0.8051169,0.796541,0.49971473,0.64284277,0.6569743,0.112136245,0.588731,0.60604954,-0.048332334
71004,0.68855536,0.68444,0.34523654,0.54514956,0.54866195,-0.034612894,0.4829638,0.49937165,-0.18662488
71006,0.804384,0.7993604,0.5337242,0.64862156,0.6657677,0.15490133,0.59963876,0.60897756,-0.01904881
72002,0.7133154,0.68601656,0.3373887,0.5207312,0.5099464,-0.1376121,0.4750113,0.45887327,-0.28693342
72004,0.7687179,0.75711477,0.38385713,0.5997916,0.6098319,-0.03864491,0.5526196,0.5502796,-0.1918447
72005,0.6951666,0.71318537,0.39697552,0.55612636,0.61410505,0.046420693,0.51159227,0.55231035,-0.08564782
73005,0.7656003,0.75879693,0.5024439,0.62560546,0.64626193,0.17389345,0.5832039,0.58923143,0.026830256
73010,0.95811164,0.9485155,0.93682605,0.9085401,0.90747297,0.8268328,0.86244714,0.8563935,0.7014659
73011,0.73860866,0.7446505,0.47258592,0.6238067,0.64602834,0.168782,0.5808971,0.591661,0.031895816
74001,0.66225886,0.68495107,0.3419069,0.5216917,0.5772957,-0.040335894,0.48581564,0.53008616,-0.1805594
74006,0.56547487,0.53226423,0.1333555,0.41751385,0.40062356,-0.28345144,0.39350694,0.3431195,-0.3751284
75003,0.9653748,0.90654147,0.9396276,0.9056259,0.867626,0.8188782,0.8350022,0.81977254,0.67553496
75004,0.8510705,0.83801687,0.74698013,0.70160234,0.71226335,0.4429208,0.63030005,0.6269425,0.21858007
76005,0.81739116,0.81120974,0.5123599,0.66690165,0.69611216,0.1360569,0.604926,0.6294416,-0.03585148
76007,0.9048816,0.86688447,0.6647513,0.7695391,0.74278235,0.31852245,0.7121377,0.6780075,0.1685456
76008,0.71538854,0.69477284,0.28438163,0.4770285,0.4898265,-0.2800449,0.42986262,0.44261688,-0.3937261
76011,0.73596334,0.7183514,0.533044,0.5836061,0.5534995,0.09956503,0.5219548,0.47705525,-0.095191
