q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.03486234699419309,0.023385808806753366,0.006160164271047228,0.0707278120009126,0.000653452406883032,0.0008080808080808081,0.3980264663696289
q25,0.25,0.1434824528422196,0.13358430298882046,0.08304814054300708,0.21457905544147843,0.03828142016989763,0.019595959595959597,0.6011916995048523
q50,0.5,0.37944285767684033,0.37006616472735565,0.25233858088067534,0.5236139630390144,0.1929318231322152,0.1195959595959596,0.7505742311477661
q75,0.75,0.6802588153552197,0.689824321241159,0.5531599361168149,0.8012128846631896,0.47963406665214553,0.3608080808080808,0.9167415499687195
q95,0.95,0.9585683251869491,0.9623545516769336,0.9301608956147507,0.9802646589094228,0.8086473535177521,0.7288888888888889,1.155259370803833
q99,0.99,0.9919366187118379,0.9938398357289527,0.9848260514020759,0.997946611909651,0.9388477455891963,0.907070707070707,1.3835978507995605
