gid,nse,kge,top1_nse,top1_bias_pct,q99_dist_bias_pct,coverage
6007,0.901553750038147,0.9360688342916013,-0.5529758930206299,-13.397139549255371,-9.619766235351562,0.4451289071412275
7001,0.6938871741294861,0.6502154169609156,-3.0611696243286133,-42.44096755981445,-27.0719051361084,0.6678074378279717
7002,0.7692006230354309,0.7412247420769613,-0.6482111215591431,-36.9128532409668,-16.820531845092773,0.5749486652977412
7003,0.8425250053405762,0.9161292632444009,0.6850041151046753,-6.252259254455566,6.037032604217529,0.5001140771161305
8004,0.6741582155227661,0.6073288200208093,-4.798111915588379,-46.572147369384766,-40.796566009521484,0.5505361624458134
8005,0.7615693807601929,0.7079543048314327,-2.777949571609497,-39.70706558227539,-23.231292724609375,0.3408624229979466
8006,0.795319676399231,0.7258675971837192,-4.708376407623291,-32.37395477294922,-25.321245193481445,0.6338124572210815
8009,0.7299655675888062,0.6893113297345315,-4.350999355316162,-42.82979202270508,-25.047748565673828,0.6801277663700661
9002,0.8455114364624023,0.7948462836479941,-0.2903764247894287,-29.17485809326172,-18.438507080078125,0.5760894364590463
9003,0.8399679064750671,0.8372339719813,-0.23466050624847412,-25.564516067504883,-14.472240447998047,0.378736025553274
9005,0.7047317028045654,0.6523154689832356,-3.150672435760498,-42.51182556152344,-35.874237060546875,0.7535934291581109
10002,0.8381757140159607,0.8130765219114879,0.23067057132720947,-28.678607940673828,-5.22996187210083,0.6046087154916724
11001,0.8481017351150513,0.7494154098832408,0.016725003719329834,-29.484779357910156,-18.044519424438477,0.5589778690394707
11003,0.7572165727615356,0.6597051206301793,-0.6069891452789307,-37.67245864868164,-26.981586456298828,0.6146475017111568
12001,0.7225607633590698,0.6418901683698967,-0.8815509080886841,-42.03628158569336,-25.453645706176758,0.569244809491216
12002,0.800385594367981,0.7316978921623452,-0.8892450332641602,-33.8244743347168,-27.317094802856445,0.5710700433493041
14001,0.9211884140968323,0.9226720381552498,0.1461583971977234,-14.455402374267578,-6.503117084503174,0.6700889801505818
14002,0.8511319160461426,0.7821233087005013,0.053550124168395996,-24.198240280151367,-14.705538749694824,0.7282683093771389
15006,0.8995065689086914,0.8134868655439486,-0.720924973487854,-25.69151496887207,-18.356210708618164,0.5270362765229295
15007,0.8792151808738708,0.8029050820736269,-0.9042377471923828,-22.7116641998291,-14.373594284057617,0.5637691079169519
15010,0.8200508952140808,0.7288714442121806,-1.177504539489746,-36.95109939575195,-24.139076232910156,0.5331964407939768
15011,0.6749967932701111,0.5758354383863445,-5.697838306427002,-51.77766799926758,-39.148658752441406,0.37964864248231805
15012,0.8340058326721191,0.791978278054773,-2.570044755935669,-28.403675079345703,-18.525880813598633,0.5258955053616244
15013,0.7697364687919617,0.7209706602307824,-1.9290919303894043,-40.56025695800781,-23.87448501586914,0.6849190052475473
16001,0.8821229338645935,0.8446454731483257,-0.5798327922821045,-22.038143157958984,-10.480070114135742,0.5649098790782568
16003,0.7929448485374451,0.7605425241117724,-1.9460194110870361,-32.325408935546875,-23.913265228271484,0.6185261236595939
16004,0.915008544921875,0.8773768575961807,-0.012186765670776367,-13.695955276489258,-7.160383224487305,0.5840748345881817
17001,0.8073674440383911,0.8014534073150963,-0.2914987802505493,-28.673999786376953,-18.845277786254883,0.45767738991558293
17003,0.8315489292144775,0.8468481467678617,-0.2529604434967041,-1.9985377788543701,10.978376388549805,0.6796714579055442
17005,0.888690173625946,0.8474299760814121,-2.1312220096588135,-22.86440658569336,-12.21677017211914,0.8206707734428473
18001,0.8119977712631226,0.8473441999368136,-1.1261205673217773,-25.950122833251953,-9.694605827331543,0.7170887519963496
18002,0.7569141983985901,0.6908444429695633,-2.927155017852783,-42.632049560546875,-29.98189926147461,0.5129533678756477
18003,0.9016798734664917,0.854080666153903,-1.4576067924499512,-27.44110870361328,-16.368562698364258,0.5033082363677847
19001,0.8708584308624268,0.850613697932128,-1.2633414268493652,-26.24339485168457,-13.602328300476074,0.7415012548482774
19006,0.8559354543685913,0.7989282439817138,-0.949508547782898,-25.751447677612305,-15.55193042755127,0.5473420031941593
19010,0.6791415214538574,0.8127799908470377,-0.16172730922698975,-2.1716713905334473,17.731630325317383,0.3595710700433493
20002,0.8386539816856384,0.7804777754598093,-1.1071958541870117,-27.893125534057617,-17.02517318725586,0.2865617157198266
20003,0.801521360874176,0.8615635320873165,-1.0658602714538574,-28.08365821838379,-11.197608947753906,0.5635409536846908
20007,0.8643878698348999,0.9116586588647756,-0.13313508033752441,-16.041452407836914,-1.9946396350860596,0.6396252285191956
21003,0.8938755989074707,0.8756334398804062,0.1717168688774109,-20.565032958984375,-8.337699890136719,0.6169290440337668
21006,0.9030251502990723,0.8931342086609046,-0.023299455642700195,-17.760086059570312,-8.103120803833008,0.7145790554414785
21008,0.852108359336853,0.7985815989904661,-0.35994744300842285,-30.471981048583984,-16.525482177734375,0.6313027606662104
21009,0.9249603748321533,0.8733036256877973,-0.38289010524749756,-21.581829071044922,-12.453990936279297,0.5487109285877253
21011,0.8387739658355713,0.825750398054026,-0.8481817245483398,-28.381973266601562,-14.612746238708496,0.8366415697011179
21012,0.8678256869316101,0.8460489747469431,-0.022756457328796387,-26.270872116088867,-12.944496154785156,0.5379876796714579
21013,0.8212107419967651,0.8166970259605038,-2.3004066944122314,-28.72880744934082,-15.431112289428711,0.7665982203969883
21015,0.7977304458618164,0.809214345617915,-0.3838803768157959,-22.82598114013672,2.066969871520996,0.8195300022815423
21016,0.8151949644088745,0.7787125131294232,0.10657656192779541,-22.294897079467773,0.8519887924194336,0.7786903947068218
21017,0.8125574588775635,0.811108738961519,-0.5258487462997437,-17.167871475219727,-1.8294036388397217,0.7978553502167465
21018,0.8419114351272583,0.8667096430021073,-0.6006929874420166,-25.149112701416016,-12.017583847045898,0.6922199406798996
21022,0.8517925143241882,0.8584872461219736,0.029975831508636475,-25.523174285888672,3.640604019165039,0.7134382842801734
21023,0.6105536222457886,0.6241995027482931,-2.528244733810425,-51.63617706298828,-28.34768295288086,0.4772986538900297
21024,0.8283553123474121,0.8072762353356775,-0.40150511264801025,-27.96216583251953,-16.81970977783203,0.7148072096737395
22001,0.8955343961715698,0.8570931823990646,0.3362574577331543,-23.237537384033203,-10.77721118927002,0.5795117499429614
22006,0.9067696332931519,0.8981138813239673,0.6155685782432556,-12.170398712158203,-3.447723388671875,0.30983344741044944
