model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage
lstm_ft_ens_q_L2 q50,416,0.6633048355579376,0.6611160879623252,0.0,-3.11175799369812,-48.96308517456055,-32.697067,-25.735583305358887,146.27316,244.38,0.47969620139270486
lstm_ft_ens_q_L2 q95 as point,416,0.45678409934043884,0.5435874381334216,8.653846153846153,-1.477504014968872,-11.516600608825684,10.248876,18.15684986114502,238.45114,244.38,0.9188634325022893
lstm_ft_ens_q_L2 q99 as point,416,-0.5299126505851746,-0.1272519340466718,78.36538461538461,-2.2908880710601807,18.525273323059082,43.69313,57.435237884521484,308.10938,244.38,0.9772986538900297
