q,nominal,pooled,per_catch_median,per_catch_p10,per_catch_p90,top1pct_days,AMAX_days,AMAX_med_ratio
q05,0.05,0.046870842980367325,0.03992699064567648,0.010381017567875885,0.09137577002053388,0.0002722718362012633,0.0,0.4081000089645386
q25,0.25,0.14683830141841633,0.1430527036276523,0.09342915811088295,0.19963495322838237,0.025811370071879766,0.01494949494949495,0.6164854168891907
q50,0.5,0.5565591036118935,0.5618147152852266,0.45242984257357977,0.6496691763632215,0.13602700936615117,0.08808080808080808,0.7541565895080566
q75,0.75,0.8341501705133871,0.8363388055440801,0.7810860141455624,0.8866073465662788,0.4118928338052712,0.3195959595959596,0.9082180261611938
q95,0.95,0.9721373869565504,0.9747889573351586,0.9530393679109453,0.9883395805150634,0.81681550860379,0.7472727272727273,1.1478993892669678
q99,0.99,0.9944316550242632,0.9958932238193019,0.9885922883869496,0.998631074606434,0.946961446307994,0.9163636363636364,1.37978196144104
