model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage,days_beyond_train_max,pred_over_obs_beyond,fit_s
raw,416,0.8196786642074585,0.8151482572845461,2.644230769230769,-0.8108489513397217,-23.85121250152588,-17.353401,-11.461034774780273,92.626274,244.38,0.5597764088523842,455,0.68178463,252
fine_leaf,416,0.8173623383045197,0.8108887911209347,2.8846153846153846,-0.8424260020256042,-24.382570266723633,-17.664013,-11.660561084747314,101.82131,244.38,0.5541866301619895,455,0.6859057,214
log1p,416,0.8311227858066559,0.8029885249844728,0.4807692307692308,-0.9387744665145874,-26.91315746307373,-21.507763,-14.37663745880127,71.76671,244.38,0.527688804019563,455,0.65645635,307
norm,416,0.8281650841236115,0.8192873717354685,1.201923076923077,-0.7101954817771912,-23.774802207946777,-17.14103,-11.85358190536499,93.20637,244.38,0.5637691079169518,455,0.6666374,245
q99,416,-0.5538710951805115,-0.23936046392841104,72.59615384615384,-3.6500539779663086,40.602535247802734,64.46736,74.67151260375977,140.80789,244.38,0.9869952087611226,455,1.2140361,330
