source,threshold,n_events,best_CSI,best_cut,hit_at_FAR30,brier,clim_brier,mean_p
point_direct,q90,54353,0.6377007236253472,0.95,0.7474472430224642,0.04181075475286893,0.08876509581088739,0.09053773764344653
ladder_ens,q90,54353,0.6454774181524507,0.39999999999999997,0.8251982411274447,0.030793017192028076,0.08876509581088739,0.09386422356065435
ladder_memmax,q90,54353,0.6187442590891582,0.5499999999999999,0.7976376648943021,0.036609508752142236,0.08876509581088739,0.12076493469567699
ladder_composite,q90,54353,0.6454774181524507,0.39999999999999997,0.8251982411274447,0.030982025842872584,0.08876509581088739,0.10282668696945511
ladder_ens_recal,q90,54353,0.645110385450682,0.39999999999999997,0.8058984784648502,0.030564125775393823,0.08876509581088739,0.10023057979259763
point_direct,q95,27224,0.5390187063047175,0.95,0.6287099617984132,0.026516434646353945,0.04688367406204626,0.039211281893358214
ladder_ens,q95,27224,0.5449299982426337,0.35,0.683404349103732,0.020598022082914075,0.04688367406204626,0.045015088958959025
ladder_memmax,q95,27224,0.5153297391493764,0.49999999999999994,0.6211063767264179,0.024471675026051663,0.04688367406204626,0.06399573598190937
ladder_composite,q95,27224,0.5449166691075247,0.35,0.6833676168086982,0.020715018713479978,0.04688367406204626,0.0522732396610906
ladder_ens_recal,q95,27224,0.5438241598985538,0.39999999999999997,0.6616220981486923,0.020488553757164005,0.04688367406204626,0.05098652315518322
point_direct,q99,6042,0.3736999572588688,0.95,0.43412777226084076,0.007963263198891374,0.010825166090111877,0.006521325640584383
ladder_ens,q99,6042,0.4046352583586626,0.3,0.4397550479973519,0.006485501897566477,0.010825166090111877,0.008646144573205226
ladder_memmax,q99,6042,0.3516705682060013,0.39999999999999997,0.30254882489241974,0.007474526441857233,0.010825166090111877,0.014946422515446927
ladder_composite,q99,6042,0.4046865104496517,0.3,0.4397550479973519,0.006586811313611892,0.010825166090111877,0.011971947705615441
ladder_ens_recal,q99,6042,0.40574483959214125,0.35,0.4073154584574644,0.006455465937945776,0.010825166090111877,0.01203270845059901
