gid,persistence_L1,weather_L1,ar_L1,ar_donor_L1,ar_perfect_L1,persistence_L2,ar_donor_L2,persistence_L3,ar_donor_L3
6007,0.8849315643310547,0.8477542400360107,0.9269434213638306,0.9209581017494202,0.935579240322113,0.6867746710777283,0.7898393869400024,0.5031229257583618,0.6390359401702881
7001,0.11323744058609009,0.5014359951019287,0.5202535390853882,0.523507297039032,0.6759302616119385,-0.3271481990814209,0.19621658325195312,-0.45284390449523926,0.1396988034248352
7002,0.19804561138153076,0.634521484375,0.6549307107925415,0.6590394377708435,0.7231303453445435,-0.26964664459228516,0.2414311170578003,-0.3892250061035156,0.1568831205368042
7003,0.3657330870628357,0.695697009563446,0.7499241828918457,0.7518119215965271,0.8067898750305176,-0.11697161197662354,0.28131556510925293,-0.29146766662597656,0.17294847965240479
8004,0.2098720669746399,0.5303187370300293,0.5633590221405029,0.5608841776847839,0.7081382870674133,-0.22774505615234375,0.22645646333694458,-0.3543729782104492,0.16536009311676025
8005,0.7513665556907654,0.7451871633529663,0.8529828786849976,0.8588218688964844,0.8695762753486633,0.41824907064437866,0.5861949920654297,0.19706767797470093,0.4077797532081604
8006,0.6403012871742249,0.7697880864143372,0.8524543046951294,0.848848819732666,0.8784116506576538,0.27722424268722534,0.5183993577957153,0.08421331644058228,0.3527575731277466
8009,0.20142579078674316,0.5937587022781372,0.615412175655365,0.6186426877975464,0.704494833946228,-0.19878780841827393,0.2646065950393677,-0.2947511672973633,0.19735175371170044
9002,0.29540735483169556,0.7053903341293335,0.7199721932411194,0.7228721380233765,0.8417563438415527,-0.08647572994232178,0.3121910095214844,-0.15854990482330322,0.2430742383003235
9003,0.1581401228904724,0.5820732116699219,0.6101518273353577,0.6139853000640869,0.8059235215187073,-0.25825607776641846,0.2049264907836914,-0.38862931728363037,0.15127193927764893
9005,0.13005131483078003,0.46787720918655396,0.5085705518722534,0.5142289400100708,0.7293013334274292,-0.32090115547180176,0.1865801215171814,-0.4336724281311035,0.13537979125976562
10002,0.42328977584838867,0.7820615768432617,0.8232940435409546,0.8123003244400024,0.8262549042701721,0.01625216007232666,0.42887669801712036,-0.12463998794555664,0.32095056772232056
