model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage,days_beyond_train_max,pred_over_obs_beyond
tree (hgb raw),416.0,0.8196786642074585,0.8151482572845461,2.644230769230769,-0.8108489513397217,-23.85121250152588,-17.353401,-11.461034774780272,92.626274,244.38,0.5597764088523842,455.0,0.68178463
lstm e8 s0,416.0,0.8517173230648041,0.8173460781233925,0.0,-0.6299295425415039,-25.063884735107422,-19.352359771728516,-14.482554912567139,157.67822265625,244.3800048828125,0.5625142596395163,,
lstm e16 s0,416.0,0.8549368977546692,0.8222478477942424,0.0,-0.5718077421188354,-23.938891410827637,-19.221946716308594,-14.227324962615967,172.21421813964844,244.3800048828125,0.5533394725252098,,
lstm e8 s1,416.0,0.8471683859825134,0.8019833885820093,0.0,-0.7303676009178162,-25.886011123657227,-21.639263153076172,-16.065049171447754,166.01791381835938,244.3800048828125,0.579853981291353,,
lstm e8 s0 tail1,416.0,0.84022256731987,0.8177019497520688,0.0,-0.5207329392433167,-24.268094062805176,-19.475439071655273,-12.595176696777344,156.06689453125,244.3800048828125,0.6354095368469085,,
