gid,nse_gauged,nse_ung_raw,nse_ung_now,chalk,gauge_name,pen_raw,pen_now
6007,0.8587746024131775,0.7925757765769958,0.8329797983169556,False,Ness at Ness-side,0.06619882583618164,0.025794804096221924
7001,0.6715590953826904,0.5760707855224609,0.692290186882019,False,Findhorn at Shenachie,0.09548830986022949,-0.020731091499328613
7002,0.6846078634262085,0.6439996957778931,0.7404450178146362,False,Findhorn at Forres,0.04060816764831543,-0.055837154388427734
7003,0.7578054666519165,0.6944131851196289,0.6500611305236816,False,Lossie at Sheriffmills,0.0633922815322876,0.10774433612823486
8004,0.6891534924507141,0.6743152141571045,0.8802034258842468,False,Avon at Delnashaugh,0.01483827829360962,-0.19104993343353271
8005,0.7197362184524536,0.480595052242279,-0.05470931529998779,False,Spey at Boat of Garten,0.23914116621017462,0.7744455337524414
8006,0.7430554628372192,0.6239715814590454,0.6709942817687988,False,Spey at Boat o Brig,0.11908388137817383,0.07206118106842041
8009,0.6740823984146118,0.6280243396759033,0.7954310774803162,False,Dulnain at Balnaan Bridge,0.046058058738708496,-0.12134867906570435
9002,0.7950109839439392,0.7908321022987366,0.8669039011001587,False,Deveron at Muiresk,0.004178881645202637,-0.07189291715621948
9003,0.7898980975151062,0.7798327207565308,0.7901493310928345,False,Isla at Grange,0.01006537675857544,-0.0002512335777282715
9005,0.6748462915420532,0.6148536205291748,0.8672089576721191,False,Allt Deveron at Cabrach,0.05999267101287842,-0.19236266613006592
10002,0.7577994465827942,0.7396602630615234,0.7914060354232788,False,Ugie at Inverugie,0.018139183521270752,-0.03360658884048462
11001,0.8499066829681396,0.8126047849655151,0.895585298538208,False,Don at Parkhill,0.03730189800262451,-0.04567861557006836
11003,0.7634883522987366,0.7387996912002563,0.8370840549468994,False,Don at Bridge of Alford,0.024688661098480225,-0.07359570264816284
12001,0.7086609601974487,0.6710847616195679,0.7060627937316895,False,Dee at Woodend,0.03757619857788086,0.0025981664657592773
12002,0.7700648903846741,0.7452560663223267,0.8101197481155396,False,Dee at Park,0.024808824062347412,-0.04005485773086548
14001,0.904593288898468,0.9034273028373718,0.924991250038147,False,Eden at Kemback,0.0011659860610961914,-0.020397961139678955
14002,0.8538455963134766,0.8319088220596313,0.8729537725448608,False,Dighty Water at Balmossie Mill,0.021936774253845215,-0.019108176231384277
15006,0.8819364309310913,0.8533650040626526,0.874679684638977,False,Tay at Ballathie,0.02857142686843872,0.007256746292114258
15007,0.8923454284667969,0.7660565972328186,0.6829023957252502,False,Tay at Pitnacree,0.12628883123397827,0.20944303274154663
15010,0.8244328498840332,0.8254774212837219,0.8441087603569031,False,Isla at Wester Cardean,-0.0010445713996887207,-0.019675910472869873
15011,0.7129493951797485,0.4757475256919861,0.1815704107284546,False,Lyon at Comrie Bridge,0.23720186948776245,0.531378984451294
15012,0.8337042927742004,0.6228524446487427,0.7668648958206177,False,Tummel at Pitlochry,0.21085184812545776,0.06683939695358276
15013,0.7624183297157288,0.7157086730003357,0.7746527791023254,False,Almond at Almondbank,0.046709656715393066,-0.01223444938659668
16001,0.8808640241622925,0.8705970644950867,0.9297120571136475,False,Earn at Kinkell Bridge,0.01026695966720581,-0.04884803295135498
16003,0.7989590167999268,0.6856751441955566,0.7612667679786682,False,Ruchill Water at Cultybraggan,0.11328387260437012,0.037692248821258545
16004,0.9019893407821656,0.8807141780853271,0.9274048805236816,False,Earn at Forteviot Bridge,0.02127516269683849,-0.025415539741516002
17001,0.8164653778076172,0.7816393375396729,0.8253592252731323,False,Carron at Headswood,0.034826040267944336,-0.008893847465515137
17003,0.8048651218414307,0.7902584075927734,0.7744835615158081,False,Bonny Water at Bonnybridge,0.014606714248657227,0.03038156032562256
