model,median_NSE_ft,median_NSE_base,paired_delta_median,frac_ft_better,top1_NSE_ft,top1_NSE_base,peak_day_bias_pct,amax_within_1d,cov_NSE_ft,cov_NSE_base
ft ens L1,0.8677650392055511,0.8615092933177948,0.00729292631149292,0.8677884615384616,-0.5580235719680786,-0.7167143225669861,-24.04186,0.5337373737373737,0.8657610714435577,0.8599565923213959
ft ens L2,0.6791680455207825,0.6590858697891235,0.016600102186203003,0.9086538461538461,-2.8406373262405396,-2.9917792081832886,-53.824806,0.35898989898989897,0.6567595601081848,0.6371773779392242
ft ens L3,0.6157882809638977,0.5941994190216064,0.013955861330032349,0.9182692307692307,-3.676262855529785,-3.7616515159606934,-61.315197,0.25696969696969696,0.5933041572570801,0.5744686722755432
ft perfect L1,0.9077977240085602,0.9012088775634766,0.006131350994110107,0.8725961538461539,0.01542288064956665,-0.172227144241333,-20.590664,0.6498989898989899,,
ft perfect L2,0.8879395425319672,0.8802842497825623,0.0046308040618896484,0.7740384615384616,-0.22985631227493286,-0.28972166776657104,-24.919144,0.6066666666666667,,
ft perfect L3,0.8792733550071716,0.8733885288238525,0.003947168588638306,0.6298076923076923,-0.2699025273323059,-0.18650782108306885,-25.206259,0.6032323232323232,,
