model,n_catchments,median_NSE,median_KGE,pct_NSE_neg,top1_NSE,top1_bias_pct,AMAX_bias_pct,q99_dist_bias_pct,pred_max,obs_max,coverage,peak_day_bias_pct,own_max_within_1d,dNSE_vs_persistence_median,beats_persistence_frac
persistence_L3,416,0.07791534066200256,0.5390161523512456,43.02884615384615,-6.054382801055908,-62.109880447387695,0.0,0.0,244.38,244.38,0.648960545189194,-75.5,0.0,,
forecast_ar_gefs_L3,416,0.4569934904575348,0.5665842106819348,1.9230769230769231,-5.156873464584351,-57.610464096069336,-25.442863,-26.265308380126953,63.0877,244.38,0.4756793515105624,-65.1,0.188,0.389,0.885
forecast_ar_perfect2_L3,416,0.8210671842098236,0.8378329531962725,0.7211538461538461,-0.9981600642204285,-25.884798049926758,-16.682995,-11.576679229736328,99.40397,244.38,0.5321917808219178,-31.4,0.518,0.766,0.911
