gid,nse,kge,top1_nse,top1_bias_pct,q99_dist_bias_pct,coverage
6007,0.8959975838661194,0.9156478910482481,-0.38861024379730225,-10.839468002319336,-6.559300422668457,0.39060004563084644
7001,0.7126008868217468,0.6647772200328563,-2.8472681045532227,-42.02720642089844,-30.98297119140625,0.5774583618526123
7002,0.7690438032150269,0.7636640464011097,-0.7553393840789795,-38.391571044921875,-18.381053924560547,0.594569929272188
7003,0.839104413986206,0.874606488959614,0.6549134254455566,-10.5321044921875,2.476072311401367,0.7248459958932238
8004,0.6985689401626587,0.6447684425339082,-4.383401870727539,-45.39015197753906,-40.01490020751953,0.5377595254391969
8005,0.7841841578483582,0.7684725381171457,-2.405661106109619,-37.286258697509766,-21.938335418701172,0.31462468628793067
8006,0.8108652830123901,0.7973656256129085,-3.6854848861694336,-30.28983497619629,-21.88701629638672,0.6632443531827515
8009,0.7299026250839233,0.6719057340218958,-4.812366008758545,-46.02410888671875,-29.182703018188477,0.6906228610540726
9002,0.8218005895614624,0.7927878270254485,-0.5117613077163696,-31.457889556884766,-21.50210189819336,0.5815651380333106
9003,0.8238412737846375,0.8013493627386932,-0.4313392639160156,-29.700761795043945,-22.202926635742188,0.34496919917864477
9005,0.6834297180175781,0.5995449445311516,-3.7433414459228516,-46.37407684326172,-44.44826889038086,0.4729637234770705
10002,0.8265286684036255,0.7882357840065073,0.15466850996017456,-29.98652458190918,-6.602329254150391,0.5509924709103354
11001,0.8710137009620667,0.8001203762024038,0.21859854459762573,-26.76328468322754,-17.004150390625,0.7038558065252111
11003,0.7627085447311401,0.6774070684878546,-0.6380637884140015,-39.21691131591797,-29.89251708984375,0.5343372119552817
12001,0.7730769515037537,0.7367315150055198,-0.49494004249572754,-36.92470169067383,-23.160058975219727,0.5785991330139174
12002,0.8275783061981201,0.8138930971481466,-0.4561563730239868,-29.09693145751953,-25.68984603881836,0.5781428245493954
14001,0.9139228463172913,0.9372611571789509,0.33320367336273193,-11.475020408630371,-1.1247575283050537,0.6194387405886379
14002,0.8713768124580383,0.8237710713086656,0.41382384300231934,-17.415082931518555,-7.70135498046875,0.7342003194159251
15006,0.9147354960441589,0.8940903580349112,-0.16091179847717285,-18.38580894470215,-10.897308349609375,0.6078028747433265
15007,0.8826202154159546,0.8133897126880174,-0.4883546829223633,-18.73566436767578,-13.165169715881348,0.4722792607802875
15010,0.839094877243042,0.7828506366014238,-0.8447506427764893,-32.54660415649414,-19.46401596069336,0.6171571982660279
15011,0.7027742862701416,0.6172537582088404,-5.0483174324035645,-48.52788543701172,-37.264190673828125,0.30207620351357517
15012,0.8532244563102722,0.8426411897248907,-2.240323543548584,-25.21135711669922,-14.852863311767578,0.5049053159936117
15013,0.7660741806030273,0.7055841101248628,-2.1369030475616455,-42.751590728759766,-27.428871154785156,0.6269678302532512
16001,0.8831555843353271,0.8322909650175888,-0.7941381931304932,-24.23086166381836,-12.709081649780273,0.5475701574264202
16003,0.788589358329773,0.7441363075405882,-2.198495626449585,-32.991172790527344,-24.55562973022461,0.4631530914898471
16004,0.916042685508728,0.8803300237785862,-0.16229593753814697,-15.916043281555176,-10.016125679016113,0.5763175906913073
17001,0.800071120262146,0.7820757625831257,-0.38048481941223145,-29.301584243774414,-19.650190353393555,0.38512434405658225
17003,0.8443464636802673,0.8775393748973931,-0.14015519618988037,-3.0283451080322266,9.472381591796875,0.7211955281770477
17005,0.8927708864212036,0.863539025090221,-1.9019534587860107,-21.937191009521484,-11.662233352661133,0.7435546429386265
18001,0.8086366057395935,0.8091389301693437,-1.472829818725586,-30.11593246459961,-15.607237815856934,0.6383755418663016
18002,0.7248128056526184,0.6661939181649048,-3.1650390625,-44.42000961303711,-31.85630989074707,0.3691093017517888
18003,0.9023999571800232,0.8245390478680976,-0.7348408699035645,-20.97821807861328,-10.299253463745117,0.30458590006844627
19001,0.8759845495223999,0.8903595186709122,-0.7993744611740112,-20.895307540893555,-8.21489143371582,0.5288615103810176
19006,0.8586276769638062,0.8295384271571902,-0.8449276685714722,-23.847759246826172,-11.14019775390625,0.6812685375313712
19010,0.6429286599159241,0.816201649458164,-0.27524828910827637,6.702101230621338,31.967771530151367,0.6153319644079398
20002,0.7994903326034546,0.7177956465209406,-1.7177205085754395,-32.67704772949219,-21.015417098999023,0.3657312343143965
20003,0.7535122632980347,0.8498303939759546,-1.4681601524353027,-31.896316528320312,-5.039328575134277,0.5227013461099703
20007,0.8345202207565308,0.8094098085779459,-0.0490117073059082,-16.594684600830078,5.331742763519287,0.8132998171846435
21003,0.881007730960846,0.8292210533368847,-0.11946535110473633,-26.655071258544922,-14.838129043579102,0.6160164271047228
21006,0.8949126601219177,0.8677393015773904,-0.11473965644836426,-21.488035202026367,-10.135734558105469,0.7271275382158339
21008,0.855061411857605,0.8093222158593217,-0.25798749923706055,-30.069786071777344,-16.74577522277832,0.6283367556468172
21009,0.9141688346862793,0.8787614445113439,-0.26459717750549316,-20.70672607421875,-13.287276268005371,0.6680355920602327
21011,0.8089492917060852,0.7964421263685915,-1.432488203048706,-34.551475524902344,-24.547475814819336,0.7588409765001141
21012,0.8579340577125549,0.8147079687464891,-0.17179536819458008,-29.905134201049805,-19.540374755859375,0.5224731918777094
21013,0.827484130859375,0.8070892166956705,-2.5833652019500732,-32.03602981567383,-21.433979034423828,0.7485740360483687
21015,0.8015950322151184,0.8498901819950713,-0.4323105812072754,-22.40365219116211,-0.9503424167633057,0.754734200319416
21016,0.8096061944961548,0.8293678109530076,0.0694689154624939,-23.53545379638672,-4.616874694824219,0.6805840748345882
21017,0.8437309265136719,0.8361133651549308,-0.856237530708313,-22.013330459594727,-14.162408828735352,0.731006160164271
21018,0.8495218753814697,0.855324724807794,-0.729324221611023,-28.517013549804688,-16.0736026763916,0.6046087154916724
21022,0.8461141586303711,0.8625707323984952,0.026727259159088135,-24.460947036743164,7.48136043548584,0.674423910563541
21023,0.6052405834197998,0.6032204513734944,-2.542818069458008,-51.23072814941406,-29.53978157043457,0.7216518366415697
21024,0.8426699042320251,0.8318500305706714,-0.2680838108062744,-27.08650779724121,-14.224397659301758,0.5852156057494866
22001,0.8972735404968262,0.8708279183776402,0.3775002956390381,-21.314680099487305,-8.759307861328125,0.4985169974903034
22006,0.8917140960693359,0.8725968063396145,0.5123269557952881,-13.118475914001465,-3.9139211177825928,0.28838694957791466
22007,0.8747732043266296,0.8078585439773264,0.08698129653930664,-26.263463973999023,-14.515357971191406,0.28587725302304356
22009,0.8704338669776917,0.872651315901495,0.25483179092407227,-25.533527374267578,-12.68155574798584,0.4136436230892083
23001,0.8827124834060669,0.8654584069161396,0.4846687316894531,-18.5941162109375,-11.428528785705566,0.6712297513118869
23004,0.8585029244422913,0.8170688469978361,0.27191752195358276,-24.912578582763672,-14.477139472961426,0.6703171343828428
23006,0.841271162033081,0.7613811206779779,-0.19342029094696045,-27.380645751953125,-24.219078063964844,0.7579283595710701
23007,0.7748635411262512,0.6696410766633023,-0.5375254154205322,-38.4694938659668,-32.26033401489258,0.22313483915126625
23008,0.8126897811889648,0.7082505355879896,-0.2776299715042114,-36.37552261352539,-31.1683349609375,0.5176900251084228
23011,0.8299758434295654,0.838038819143623,0.1753639578819275,-19.25412368774414,-17.869943618774414,0.6921497033318119
24001,0.8775219917297363,0.8583729205788029,0.21251791715621948,-22.089927673339844,-16.30873680114746,0.5496235455167693
24003,0.782850444316864,0.634086826782803,-0.5527113676071167,-39.63639831542969,-31.808942794799805,0.33183431952662723
24004,0.8553078770637512,0.8512259569872073,-0.7004354000091553,-20.103973388671875,-16.31963348388672,0.730093543235227
24005,0.8270817995071411,0.79971300389093,0.14188027381896973,-24.515575408935547,-14.7566499710083,0.8200091365920512
25001,0.8475985527038574,0.8056360473401535,-0.09421157836914062,-26.66217041015625,-23.112810134887695,0.4581336983801049
25006,0.8089883327484131,0.7404094557541454,-0.30441761016845703,-25.911373138427734,-25.1650447845459,0.3661875427789186
25012,0.835129976272583,0.8167632853699246,0.0640755295753479,-13.512653350830078,-14.83873176574707,0.5749486652977412
25020,0.8547893166542053,0.8550559611847188,0.015656709671020508,-0.2931833267211914,0.16667842864990234,0.2863335614875656
26003,0.8717814087867737,0.7595308459429013,-11.397202491760254,-12.675582885742188,-13.767361640930176,0.2542798447842958
27001,0.8762811422348022,0.7724169509216197,-0.1303997039794922,-30.606115341186523,-24.757099151611328,0.39479689639434046
27003,0.911473274230957,0.8917631180696699,-7.183549880981445,-0.48467516899108887,-11.531835556030273,0.731462468628793
27006,0.8281785249710083,0.7511461330183029,-0.01614248752593994,-33.126712799072266,-25.006263732910156,0.4433036732831394
27007,0.8559585809707642,0.812693315783142,-0.041123270988464355,-25.86064910888672,-13.022345542907715,0.5838466803559206
27009,0.9281280040740967,0.9474242993192742,-0.8771170377731323,-1.4022231101989746,-1.4351844787597656,0.6643851243440566
27021,0.8931503295898438,0.772933038435293,-0.13467764854431152,-26.19851303100586,-21.099233627319336,0.6810403832991102
27023,0.8630812168121338,0.8303027824486041,0.15090185403823853,-24.4408016204834,-4.854851722717285,0.3139402235911476
27025,0.828697144985199,0.6969252050827657,-0.47512686252593994,-31.39535140991211,-25.829130172729492,0.15833903718913986
27026,0.8467382192611694,0.7594868609344929,-0.16225767135620117,-31.23052215576172,-18.781047821044922,0.6929044033766827
27029,0.8837940692901611,0.7927480578508204,0.14225035905838013,-22.930330276489258,-16.147554397583008,0.5503080082135524
27030,0.8593609929084778,0.7187788447767481,-0.7423501014709473,-30.6800479888916,-22.240840911865234,0.5535021674652065
27032,0.7912912964820862,0.7965989937522546,-0.4242147207260132,-23.04648780822754,-15.894615173339844,0.5874971480720967
27034,0.8550312519073486,0.8293637454720576,-0.21581709384918213,-16.110307693481445,-18.18026351928711,0.540953684690851
27035,0.8556003570556641,0.8099146174433481,-0.4290212392807007,-18.941753387451172,-17.989194869995117,0.46657540497376226
27038,0.45022398233413696,0.6329961637291834,-3.067739486694336,-55.34345626831055,-16.314088821411133,0.596623317362537
27042,0.8414419889450073,0.7802049918630294,0.006384909152984619,-23.964107513427734,-14.475923538208008,0.7490303445128907
27047,0.8615797758102417,0.8521736641956354,0.22850245237350464,-7.522958755493164,-11.106485366821289,0.5843029888204426
27051,0.8059788942337036,0.6734904546360372,-0.47414398193359375,-34.86274337768555,-27.356809616088867,0.3271731690622861
27071,0.856392502784729,0.8980072302068688,-1.2957525253295898,-6.990581512451172,1.2174248695373535,0.7723020762035135
28001,0.6031849384307861,0.6846291282294559,-0.41790103912353516,-40.00260925292969,-22.033714294433594,0.37166324435318276
28008,0.8825388550758362,0.882156441257065,-0.77369225025177,-20.184724807739258,-11.693572998046875,0.48528405201916497
28009,0.9545714855194092,0.9474501615498889,-0.20339596271514893,-14.85084342956543,-6.464624404907227,0.5357061373488479
28012,0.8618135452270508,0.8417411841934196,-0.1773456335067749,-20.530689239501953,-6.359553337097168,0.7072781200091262
28018,0.9002929329872131,0.8515356359893278,-1.0886821746826172,-19.736879348754883,-17.366188049316406,0.6397444672598677
28022,0.9468738436698914,0.9577861780417676,-0.9122151136398315,-10.326009750366211,-7.539427280426025,0.48003650467716175
28024,0.8555636405944824,0.828340175156451,-7.581679344177246,7.72477388381958,5.6621551513671875,0.7606662103582021
